league,season,div,date,time,hometeam,awayteam,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,halftimehalfgoals,halftimehomegoals,halftimeresult,referee,homeshots,awayshots,homeshotontarget,awayshotsontarget,homefouls,awayfouls,homecorners,awaycorners,homeyellowcards,awayyellowcards,homeredcards,awayredcards,kickoff_hour,time_of_day,total_goals,goal_difference,total_cards,shot_accuracy_home,shot_accuracy_away,total_shots,total_shots_on_target,total_fouls,total_corners
La Liga,2024-2025,SP1,2025-03-01,20:00,Ath Madrid,Ath Bilbao,1,0,H,0.0,0.0,D,Unknown,12.0,15.0,4.0,3.0,7.0,8.0,6.0,2.0,2.0,3.0,0.0,0.0,20,Evening / Night,1,1,5.0,0.3333333333333333,0.2,27.0,7.0,15.0,8.0
La Liga,2024-2025,SP1,2025-03-02,13:00,Leganes,Getafe,1,0,H,0.0,0.0,D,Unknown,5.0,9.0,1.0,0.0,15.0,15.0,2.0,6.0,1.0,1.0,0.0,0.0,13,Early Kickoff,1,1,2.0,0.2,0.0,14.0,1.0,30.0,8.0
La Liga,2024-2025,SP1,2025-03-02,15:15,Barcelona,Sociedad,4,0,H,2.0,0.0,H,Unknown,33.0,0.0,10.0,0.0,15.0,6.0,12.0,0.0,0.0,0.0,0.0,1.0,15,Afternoon,4,4,1.0,0.30303030303030304,0,33.0,10.0,21.0,12.0
La Liga,2024-2025,SP1,2025-03-02,17:30,Mallorca,Alaves,1,1,D,1.0,0.0,H,Unknown,15.0,19.0,4.0,7.0,20.0,14.0,3.0,9.0,0.0,2.0,0.0,0.0,17,Evening / Night,2,0,2.0,0.26666666666666666,0.3684210526315789,34.0,11.0,34.0,12.0
La Liga,2024-2025,SP1,2025-03-02,20:00,Osasuna,Valencia,3,3,D,3.0,2.0,H,Unknown,12.0,12.0,5.0,5.0,10.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,20,Evening / Night,6,0,3.0,0.4166666666666667,0.4166666666666667,24.0,10.0,17.0,6.0
La Liga,2024-2025,SP1,2025-03-08,13:00,Celta,Leganes,2,1,H,2.0,1.0,H,Unknown,7.0,12.0,4.0,6.0,10.0,9.0,2.0,5.0,3.0,2.0,0.0,0.0,13,Early Kickoff,3,1,5.0,0.5714285714285714,0.5,19.0,10.0,19.0,7.0
La Liga,2024-2025,SP1,2025-03-08,15:15,Alaves,Villarreal,1,0,H,1.0,0.0,H,Unknown,5.0,24.0,3.0,2.0,11.0,13.0,1.0,6.0,3.0,1.0,2.0,0.0,15,Afternoon,1,1,6.0,0.6,0.08333333333333333,29.0,5.0,24.0,7.0
La Liga,2024-2025,SP1,2025-03-08,17:30,Valencia,Valladolid,2,1,H,1.0,1.0,D,Unknown,17.0,11.0,4.0,4.0,11.0,10.0,5.0,4.0,1.0,3.0,0.0,0.0,17,Evening / Night,3,1,4.0,0.23529411764705882,0.36363636363636365,28.0,8.0,21.0,9.0
La Liga,2024-2025,SP1,2025-03-09,13:00,Getafe,Ath Madrid,2,1,H,0.0,0.0,D,Unknown,11.0,4.0,3.0,2.0,10.0,14.0,4.0,4.0,6.0,2.0,0.0,1.0,13,Early Kickoff,3,1,9.0,0.2727272727272727,0.5,15.0,5.0,24.0,8.0
La Liga,2024-2025,SP1,2025-03-09,15:15,Real Madrid,Vallecano,2,1,H,2.0,1.0,H,Unknown,10.0,20.0,5.0,6.0,12.0,17.0,4.0,6.0,3.0,1.0,0.0,0.0,15,Afternoon,3,1,4.0,0.5,0.3,30.0,11.0,29.0,10.0
La Liga,2024-2025,SP1,2025-03-09,17:30,Ath Bilbao,Mallorca,1,1,D,0.0,0.0,D,Unknown,8.0,9.0,2.0,2.0,6.0,13.0,3.0,3.0,1.0,3.0,0.0,0.0,17,Evening / Night,2,0,4.0,0.25,0.2222222222222222,17.0,4.0,19.0,6.0
La Liga,2024-2025,SP1,2025-03-09,17:30,Betis,Las Palmas,1,0,H,0.0,0.0,D,Unknown,14.0,8.0,6.0,1.0,12.0,14.0,11.0,1.0,2.0,8.0,0.0,1.0,17,Evening / Night,1,1,11.0,0.42857142857142855,0.125,22.0,7.0,26.0,12.0
La Liga,2024-2025,SP1,2025-03-09,20:00,Sociedad,Sevilla,0,1,A,0.0,0.0,D,Unknown,7.0,9.0,2.0,4.0,14.0,12.0,6.0,3.0,2.0,1.0,0.0,0.0,20,Evening / Night,1,1,3.0,0.2857142857142857,0.4444444444444444,16.0,6.0,26.0,9.0
La Liga,2024-2025,SP1,2025-03-10,20:00,Espanol,Girona,1,1,D,0.0,0.0,D,Unknown,7.0,18.0,4.0,4.0,11.0,13.0,4.0,9.0,3.0,3.0,0.0,0.0,20,Evening / Night,2,0,6.0,0.5714285714285714,0.2222222222222222,25.0,8.0,24.0,13.0
La Liga,2024-2025,SP1,2025-03-14,20:00,Las Palmas,Alaves,2,2,D,0.0,1.0,A,Unknown,14.0,9.0,7.0,3.0,10.0,22.0,4.0,5.0,5.0,5.0,0.0,0.0,20,Evening / Night,4,0,10.0,0.5,0.3333333333333333,23.0,10.0,32.0,9.0
La Liga,2024-2025,SP1,2025-03-15,13:00,Valladolid,Celta,0,1,A,0.0,0.0,D,Unknown,5.0,10.0,2.0,1.0,9.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0,13,Early Kickoff,1,1,6.0,0.4,0.1,15.0,3.0,24.0,7.0
La Liga,2024-2025,SP1,2025-03-15,15:15,Mallorca,Espanol,2,1,H,0.0,0.0,D,Unknown,20.0,2.0,7.0,0.0,10.0,12.0,6.0,2.0,0.0,2.0,0.0,0.0,15,Afternoon,3,1,2.0,0.35,0.0,22.0,7.0,22.0,8.0
La Liga,2024-2025,SP1,2025-03-15,17:30,Villarreal,Real Madrid,1,2,A,1.0,2.0,A,Unknown,23.0,9.0,10.0,5.0,17.0,3.0,11.0,4.0,2.0,1.0,0.0,0.0,17,Evening / Night,3,1,3.0,0.43478260869565216,0.5555555555555556,32.0,15.0,20.0,15.0
La Liga,2024-2025,SP1,2025-03-15,20:00,Girona,Valencia,1,1,D,0.0,0.0,D,Unknown,14.0,12.0,4.0,2.0,12.0,5.0,9.0,4.0,2.0,1.0,0.0,0.0,20,Evening / Night,2,0,3.0,0.2857142857142857,0.16666666666666666,26.0,6.0,17.0,13.0
La Liga,2024-2025,SP1,2025-03-16,13:00,Leganes,Betis,2,3,A,2.0,0.0,H,Unknown,10.0,21.0,4.0,6.0,16.0,5.0,3.0,7.0,2.0,1.0,0.0,0.0,13,Early Kickoff,5,1,3.0,0.4,0.2857142857142857,31.0,10.0,21.0,10.0
La Liga,2024-2025,SP1,2025-03-16,15:15,Sevilla,Ath Bilbao,0,1,A,0.0,0.0,D,Unknown,11.0,9.0,4.0,4.0,13.0,12.0,4.0,6.0,4.0,2.0,0.0,0.0,15,Afternoon,1,1,6.0,0.36363636363636365,0.4444444444444444,20.0,8.0,25.0,10.0
La Liga,2024-2025,SP1,2025-03-16,17:30,Osasuna,Getafe,1,2,A,1.0,0.0,H,Unknown,12.0,7.0,4.0,4.0,19.0,15.0,3.0,2.0,2.0,3.0,0.0,1.0,17,Evening / Night,3,1,6.0,0.3333333333333333,0.5714285714285714,19.0,8.0,34.0,5.0
La Liga,2024-2025,SP1,2025-03-16,17:30,Vallecano,Sociedad,2,2,D,0.0,1.0,A,Unknown,10.0,8.0,5.0,4.0,16.0,9.0,4.0,4.0,3.0,2.0,0.0,0.0,17,Evening / Night,4,0,5.0,0.5,0.5,18.0,9.0,25.0,8.0
La Liga,2024-2025,SP1,2025-03-16,20:00,Ath Madrid,Barcelona,2,4,A,1.0,0.0,H,Unknown,7.0,13.0,2.0,6.0,10.0,11.0,6.0,6.0,1.0,3.0,0.0,0.0,20,Evening / Night,6,2,4.0,0.2857142857142857,0.46153846153846156,20.0,8.0,21.0,12.0
La Liga,2024-2025,SP1,2025-03-27,20:00,Barcelona,Osasuna,3,0,H,2.0,0.0,H,Unknown,19.0,4.0,5.0,0.0,7.0,14.0,8.0,4.0,1.0,3.0,0.0,0.0,20,Evening / Night,3,3,4.0,0.2631578947368421,0.0,23.0,5.0,21.0,12.0
La Liga,2024-2025,SP1,2025-03-29,13:00,Sociedad,Valladolid,2,1,H,1.0,0.0,H,Unknown,12.0,12.0,2.0,5.0,20.0,10.0,3.0,6.0,2.0,3.0,0.0,0.0,13,Early Kickoff,3,1,5.0,0.16666666666666666,0.4166666666666667,24.0,7.0,30.0,9.0
La Liga,2024-2025,SP1,2025-03-29,15:15,Espanol,Ath Madrid,1,1,D,0.0,1.0,A,Unknown,8.0,13.0,1.0,2.0,12.0,14.0,4.0,3.0,2.0,1.0,0.0,0.0,15,Afternoon,2,0,3.0,0.125,0.15384615384615385,21.0,3.0,26.0,7.0
La Liga,2024-2025,SP1,2025-03-29,17:30,Alaves,Vallecano,0,2,A,0.0,1.0,A,Unknown,12.0,11.0,4.0,5.0,14.0,12.0,8.0,5.0,3.0,5.0,0.0,0.0,17,Evening / Night,2,2,8.0,0.3333333333333333,0.45454545454545453,23.0,9.0,26.0,13.0
La Liga,2024-2025,SP1,2025-03-29,20:00,Real Madrid,Leganes,3,2,H,1.0,2.0,A,Unknown,24.0,10.0,10.0,4.0,9.0,13.0,8.0,3.0,1.0,4.0,0.0,0.0,20,Evening / Night,5,1,5.0,0.4166666666666667,0.4,34.0,14.0,22.0,11.0
La Liga,2024-2025,SP1,2025-03-30,13:00,Getafe,Villarreal,1,2,A,1.0,2.0,A,Unknown,11.0,9.0,4.0,3.0,16.0,21.0,3.0,1.0,1.0,4.0,0.0,0.0,13,Early Kickoff,3,1,5.0,0.36363636363636365,0.3333333333333333,20.0,7.0,37.0,4.0
La Liga,2024-2025,SP1,2025-03-30,15:15,Barcelona,Girona,4,1,H,1.0,0.0,H,Unknown,21.0,4.0,9.0,2.0,8.0,11.0,10.0,2.0,0.0,1.0,0.0,0.0,15,Afternoon,5,3,1.0,0.42857142857142855,0.5,25.0,11.0,19.0,12.0
La Liga,2024-2025,SP1,2025-03-30,17:30,Ath Bilbao,Osasuna,0,0,D,0.0,0.0,D,Unknown,11.0,5.0,5.0,2.0,12.0,12.0,3.0,4.0,1.0,1.0,0.0,0.0,17,Evening / Night,0,0,2.0,0.45454545454545453,0.4,16.0,7.0,24.0,7.0
La Liga,2024-2025,SP1,2025-03-30,17:30,Valencia,Mallorca,1,0,H,0.0,0.0,D,Unknown,8.0,8.0,2.0,2.0,16.0,15.0,4.0,5.0,5.0,5.0,0.0,0.0,17,Evening / Night,1,1,10.0,0.25,0.25,16.0,4.0,31.0,9.0
La Liga,2024-2025,SP1,2025-03-30,20:00,Betis,Sevilla,2,1,H,2.0,1.0,H,Unknown,11.0,6.0,3.0,2.0,10.0,22.0,2.0,2.0,4.0,4.0,0.0,0.0,20,Evening / Night,3,1,8.0,0.2727272727272727,0.3333333333333333,17.0,5.0,32.0,4.0
La Liga,2024-2025,SP1,2025-03-31,20:00,Celta,Las Palmas,1,1,D,1.0,0.0,H,Unknown,19.0,4.0,7.0,2.0,17.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,20,Evening / Night,2,0,3.0,0.3684210526315789,0.5,23.0,9.0,22.0,6.0
La Liga,2024-2025,SP1,2025-04-04,20:00,Vallecano,Espanol,0,4,A,0.0,2.0,A,Unknown,16.0,15.0,5.0,7.0,8.0,10.0,8.0,4.0,2.0,2.0,0.0,0.0,20,Evening / Night,4,4,4.0,0.3125,0.4666666666666667,31.0,12.0,18.0,12.0
La Liga,2024-2025,SP1,2025-04-05,13:00,Girona,Alaves,0,1,A,0.0,0.0,D,Unknown,11.0,14.0,6.0,3.0,9.0,16.0,1.0,5.0,1.0,4.0,0.0,0.0,13,Early Kickoff,1,1,5.0,0.5454545454545454,0.21428571428571427,25.0,9.0,25.0,6.0
La Liga,2024-2025,SP1,2025-04-05,15:15,Real Madrid,Valencia,1,2,A,0.0,1.0,A,Unknown,21.0,10.0,9.0,2.0,10.0,13.0,9.0,4.0,0.0,4.0,0.0,0.0,15,Afternoon,3,1,4.0,0.42857142857142855,0.2,31.0,11.0,23.0,13.0
La Liga,2024-2025,SP1,2025-04-05,17:30,Mallorca,Celta,1,2,A,1.0,0.0,H,Unknown,7.0,10.0,2.0,4.0,9.0,11.0,4.0,2.0,3.0,0.0,0.0,0.0,17,Evening / Night,3,1,3.0,0.2857142857142857,0.4,17.0,6.0,20.0,6.0
La Liga,2024-2025,SP1,2025-04-05,20:00,Barcelona,Betis,1,1,D,1.0,1.0,D,Unknown,13.0,6.0,5.0,2.0,16.0,12.0,9.0,3.0,2.0,1.0,0.0,0.0,20,Evening / Night,2,0,3.0,0.38461538461538464,0.3333333333333333,19.0,7.0,28.0,12.0
La Liga,2024-2025,SP1,2025-04-06,13:00,Las Palmas,Sociedad,1,3,A,0.0,1.0,A,Unknown,13.0,13.0,5.0,8.0,7.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,13,Early Kickoff,4,2,2.0,0.38461538461538464,0.6153846153846154,26.0,13.0,17.0,9.0
La Liga,2024-2025,SP1,2025-04-06,15:15,Sevilla,Ath Madrid,1,2,A,1.0,1.0,D,Unknown,11.0,13.0,6.0,5.0,14.0,12.0,7.0,7.0,1.0,4.0,0.0,0.0,15,Afternoon,3,1,5.0,0.5454545454545454,0.38461538461538464,24.0,11.0,26.0,14.0
La Liga,2024-2025,SP1,2025-04-06,17:30,Valladolid,Getafe,0,4,A,0.0,3.0,A,Unknown,5.0,16.0,0.0,9.0,11.0,17.0,3.0,4.0,3.0,1.0,1.0,0.0,17,Evening / Night,4,4,5.0,0.0,0.5625,21.0,9.0,28.0,7.0
La Liga,2024-2025,SP1,2025-04-06,20:00,Villarreal,Ath Bilbao,0,0,D,0.0,0.0,D,Unknown,12.0,11.0,4.0,2.0,9.0,13.0,6.0,5.0,0.0,1.0,1.0,0.0,20,Evening / Night,0,0,2.0,0.3333333333333333,0.18181818181818182,23.0,6.0,22.0,11.0
La Liga,2024-2025,SP1,2025-04-07,20:00,Leganes,Osasuna,1,1,D,0.0,0.0,D,Unknown,13.0,14.0,7.0,6.0,18.0,14.0,4.0,8.0,3.0,3.0,0.0,0.0,20,Evening / Night,2,0,6.0,0.5384615384615384,0.42857142857142855,27.0,13.0,32.0,12.0
La Liga,2024-2025,SP1,2025-04-11,20:00,Valencia,Sevilla,1,0,H,1.0,0.0,H,Unknown,8.0,12.0,6.0,5.0,10.0,18.0,3.0,3.0,3.0,2.0,0.0,0.0,20,Evening / Night,1,1,5.0,0.75,0.4166666666666667,20.0,11.0,28.0,6.0
La Liga,2024-2025,SP1,2025-04-12,13:00,Sociedad,Mallorca,0,2,A,0.0,1.0,A,Unknown,15.0,7.0,4.0,3.0,11.0,12.0,8.0,2.0,3.0,1.0,0.0,0.0,13,Early Kickoff,2,2,4.0,0.26666666666666666,0.42857142857142855,22.0,7.0,23.0,10.0
La Liga,2024-2025,SP1,2025-04-12,15:15,Getafe,Las Palmas,1,3,A,1.0,0.0,H,Unknown,11.0,10.0,6.0,5.0,14.0,15.0,3.0,2.0,0.0,2.0,1.0,0.0,15,Afternoon,4,2,3.0,0.5454545454545454,0.5,21.0,11.0,29.0,5.0
La Liga,2024-2025,SP1,2025-04-12,17:30,Celta,Espanol,0,2,A,0.0,1.0,A,Unknown,16.0,5.0,6.0,3.0,14.0,10.0,13.0,5.0,2.0,2.0,0.0,0.0,17,Evening / Night,2,2,4.0,0.375,0.6,21.0,9.0,24.0,18.0
La Liga,2024-2025,SP1,2025-04-12,20:00,Leganes,Barcelona,0,1,A,0.0,0.0,D,Unknown,6.0,12.0,1.0,3.0,10.0,4.0,4.0,8.0,2.0,1.0,0.0,0.0,20,Evening / Night,1,1,3.0,0.16666666666666666,0.25,18.0,4.0,14.0,12.0
La Liga,2024-2025,SP1,2025-04-13,13:00,Osasuna,Girona,2,1,H,1.0,0.0,H,Unknown,13.0,18.0,6.0,8.0,17.0,15.0,4.0,4.0,2.0,0.0,0.0,0.0,13,Early Kickoff,3,1,2.0,0.46153846153846156,0.4444444444444444,31.0,14.0,32.0,8.0
La Liga,2024-2025,SP1,2025-04-13,15:15,Alaves,Real Madrid,0,1,A,0.0,1.0,A,Unknown,13.0,11.0,6.0,4.0,21.0,12.0,4.0,4.0,4.0,4.0,1.0,1.0,15,Afternoon,1,1,10.0,0.46153846153846156,0.36363636363636365,24.0,10.0,33.0,8.0
La Liga,2024-2025,SP1,2025-04-13,17:30,Betis,Villarreal,1,2,A,1.0,1.0,D,Unknown,24.0,8.0,5.0,2.0,4.0,13.0,5.0,5.0,0.0,4.0,0.0,0.0,17,Evening / Night,3,1,4.0,0.20833333333333334,0.25,32.0,7.0,17.0,10.0
La Liga,2024-2025,SP1,2025-04-13,20:00,Ath Bilbao,Vallecano,3,1,H,0.0,1.0,A,Unknown,13.0,11.0,4.0,3.0,12.0,7.0,7.0,1.0,4.0,3.0,0.0,0.0,20,Evening / Night,4,2,7.0,0.3076923076923077,0.2727272727272727,24.0,7.0,19.0,8.0
La Liga,2024-2025,SP1,2025-04-14,20:00,Ath Madrid,Valladolid,4,2,H,2.0,1.0,H,Unknown,24.0,6.0,9.0,3.0,11.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,20,Evening / Night,6,2,2.0,0.375,0.5,30.0,12.0,19.0,6.0
La Liga,2024-2025,SP1,2025-04-18,20:00,Espanol,Getafe,1,0,H,1.0,0.0,H,Unknown,9.0,9.0,3.0,4.0,12.0,15.0,6.0,8.0,0.0,2.0,0.0,1.0,20,Evening / Night,1,1,3.0,0.3333333333333333,0.4444444444444444,18.0,7.0,27.0,14.0
La Liga,2024-2025,SP1,2025-04-19,13:00,Vallecano,Valencia,1,1,D,1.0,0.0,H,Unknown,11.0,10.0,4.0,3.0,18.0,13.0,5.0,2.0,3.0,1.0,0.0,0.0,13,Early Kickoff,2,0,4.0,0.36363636363636365,0.3,21.0,7.0,31.0,7.0
La Liga,2024-2025,SP1,2025-04-19,15:15,Barcelona,Celta,4,3,H,1.0,1.0,D,Unknown,18.0,11.0,6.0,8.0,10.0,13.0,4.0,1.0,2.0,2.0,0.0,0.0,15,Afternoon,7,1,4.0,0.3333333333333333,0.7272727272727273,29.0,14.0,23.0,5.0
La Liga,2024-2025,SP1,2025-04-19,17:30,Mallorca,Leganes,0,0,D,0.0,0.0,D,Unknown,11.0,15.0,1.0,1.0,17.0,15.0,4.0,4.0,2.0,1.0,0.0,0.0,17,Evening / Night,0,0,3.0,0.09090909090909091,0.06666666666666667,26.0,2.0,32.0,8.0
La Liga,2024-2025,SP1,2025-04-19,20:00,Las Palmas,Ath Madrid,1,0,H,0.0,0.0,D,Unknown,8.0,7.0,2.0,2.0,13.0,13.0,4.0,4.0,3.0,1.0,0.0,0.0,20,Evening / Night,1,1,4.0,0.25,0.2857142857142857,15.0,4.0,26.0,8.0
La Liga,2024-2025,SP1,2025-04-20,13:00,Valladolid,Osasuna,2,3,A,0.0,2.0,A,Unknown,12.0,11.0,5.0,6.0,12.0,17.0,5.0,2.0,2.0,0.0,0.0,0.0,13,Early Kickoff,5,1,2.0,0.4166666666666667,0.5454545454545454,23.0,11.0,29.0,7.0
La Liga,2024-2025,SP1,2025-04-20,15:15,Villarreal,Sociedad,2,2,D,1.0,1.0,D,Unknown,20.0,4.0,5.0,4.0,12.0,12.0,10.0,4.0,5.0,1.0,0.0,0.0,15,Afternoon,4,0,6.0,0.25,1.0,24.0,9.0,24.0,14.0
La Liga,2024-2025,SP1,2025-04-20,17:30,Sevilla,Alaves,1,1,D,1.0,1.0,D,Unknown,10.0,11.0,2.0,3.0,10.0,11.0,3.0,6.0,2.0,2.0,0.0,0.0,17,Evening / Night,2,0,4.0,0.2,0.2727272727272727,21.0,5.0,21.0,9.0
La Liga,2024-2025,SP1,2025-04-20,20:00,Real Madrid,Ath Bilbao,1,0,H,0.0,0.0,D,Unknown,22.0,3.0,7.0,1.0,7.0,15.0,14.0,1.0,1.0,2.0,0.0,0.0,20,Evening / Night,1,1,3.0,0.3181818181818182,0.3333333333333333,25.0,8.0,22.0,15.0
La Liga,2024-2025,SP1,2025-04-21,20:00,Girona,Betis,1,3,A,0.0,3.0,A,Unknown,11.0,17.0,5.0,9.0,13.0,11.0,8.0,9.0,3.0,2.0,0.0,0.0,20,Evening / Night,4,2,5.0,0.45454545454545453,0.5294117647058824,28.0,14.0,24.0,17.0
La Liga,2024-2025,SP1,2025-04-22,18:00,Valencia,Espanol,1,1,D,0.0,1.0,A,Unknown,16.0,8.0,7.0,3.0,7.0,7.0,6.0,4.0,2.0,1.0,0.0,0.0,18,Evening / Night,2,0,3.0,0.4375,0.375,24.0,10.0,14.0,10.0
La Liga,2024-2025,SP1,2025-04-22,20:30,Barcelona,Mallorca,1,0,H,0.0,0.0,D,Unknown,40.0,4.0,13.0,0.0,10.0,7.0,13.0,2.0,0.0,1.0,0.0,0.0,20,Evening / Night,1,1,1.0,0.325,0.0,44.0,13.0,17.0,15.0
La Liga,2024-2025,SP1,2025-04-23,18:00,Ath Bilbao,Las Palmas,1,0,H,1.0,0.0,H,Unknown,13.0,10.0,4.0,2.0,13.0,9.0,3.0,3.0,1.0,3.0,0.0,0.0,18,Evening / Night,1,1,4.0,0.3076923076923077,0.2,23.0,6.0,22.0,6.0
La Liga,2024-2025,SP1,2025-04-23,18:00,Celta,Villarreal,3,0,H,1.0,0.0,H,Unknown,21.0,4.0,9.0,1.0,16.0,10.0,6.0,3.0,2.0,1.0,0.0,1.0,18,Evening / Night,3,3,4.0,0.42857142857142855,0.25,25.0,10.0,26.0,9.0
La Liga,2024-2025,SP1,2025-04-23,20:30,Alaves,Sociedad,1,0,H,0.0,0.0,D,Unknown,10.0,6.0,1.0,0.0,17.0,17.0,6.0,6.0,4.0,5.0,0.0,0.0,20,Evening / Night,1,1,9.0,0.1,0.0,16.0,1.0,34.0,12.0
La Liga,2024-2025,SP1,2025-04-23,20:30,Getafe,Real Madrid,0,1,A,0.0,1.0,A,Unknown,20.0,14.0,6.0,7.0,15.0,7.0,4.0,4.0,3.0,1.0,0.0,0.0,20,Evening / Night,1,1,4.0,0.3,0.5,34.0,13.0,22.0,8.0
La Liga,2024-2025,SP1,2025-04-24,18:00,Leganes,Girona,1,1,D,0.0,0.0,D,Unknown,7.0,8.0,1.0,3.0,16.0,18.0,4.0,5.0,4.0,2.0,1.0,0.0,18,Evening / Night,2,0,7.0,0.14285714285714285,0.375,15.0,4.0,34.0,9.0
La Liga,2024-2025,SP1,2025-04-24,18:00,Osasuna,Sevilla,1,0,H,1.0,0.0,H,Unknown,9.0,12.0,2.0,3.0,14.0,13.0,4.0,4.0,4.0,2.0,0.0,1.0,18,Evening / Night,1,1,7.0,0.2222222222222222,0.25,21.0,5.0,27.0,8.0
La Liga,2024-2025,SP1,2025-04-24,20:30,Ath Madrid,Vallecano,3,0,H,2.0,0.0,H,Unknown,10.0,12.0,5.0,5.0,8.0,15.0,6.0,3.0,0.0,2.0,0.0,0.0,20,Evening / Night,3,3,2.0,0.5,0.4166666666666667,22.0,10.0,23.0,9.0
La Liga,2024-2025,SP1,2025-04-24,20:30,Betis,Valladolid,5,1,H,1.0,1.0,D,Unknown,16.0,10.0,6.0,5.0,7.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,20,Evening / Night,6,4,1.0,0.375,0.5,26.0,11.0,14.0,8.0
La Liga,2024-2025,SP1,2025-04-27,15:15,Villarreal,Espanol,1,0,H,0.0,0.0,D,Unknown,14.0,12.0,5.0,1.0,19.0,11.0,8.0,6.0,4.0,0.0,0.0,0.0,15,Afternoon,1,1,4.0,0.35714285714285715,0.08333333333333333,26.0,6.0,30.0,14.0
La Liga,2024-2025,SP1,2025-05-02,20:00,Vallecano,Getafe,1,0,H,1.0,0.0,H,Unknown,13.0,12.0,8.0,1.0,12.0,13.0,7.0,3.0,3.0,2.0,0.0,1.0,20,Evening / Night,1,1,6.0,0.6153846153846154,0.08333333333333333,25.0,9.0,25.0,10.0
La Liga,2024-2025,SP1,2025-05-03,13:00,Alaves,Ath Madrid,0,0,D,0.0,0.0,D,Unknown,8.0,9.0,2.0,2.0,18.0,13.0,3.0,5.0,3.0,2.0,0.0,0.0,13,Early Kickoff,0,0,5.0,0.25,0.2222222222222222,17.0,4.0,31.0,8.0
La Liga,2024-2025,SP1,2025-05-03,15:15,Villarreal,Osasuna,4,2,H,3.0,0.0,H,Unknown,15.0,11.0,5.0,4.0,10.0,18.0,2.0,8.0,4.0,1.0,0.0,0.0,15,Afternoon,6,2,5.0,0.3333333333333333,0.36363636363636365,26.0,9.0,28.0,10.0
La Liga,2024-2025,SP1,2025-05-03,17:30,Las Palmas,Valencia,2,3,A,1.0,1.0,D,Unknown,15.0,10.0,3.0,5.0,12.0,6.0,9.0,5.0,1.0,1.0,0.0,0.0,17,Evening / Night,5,1,2.0,0.2,0.5,25.0,8.0,18.0,14.0
La Liga,2024-2025,SP1,2025-05-03,20:00,Valladolid,Barcelona,1,2,A,1.0,0.0,H,Unknown,5.0,24.0,4.0,7.0,12.0,15.0,4.0,8.0,3.0,2.0,0.0,0.0,20,Evening / Night,3,1,5.0,0.8,0.2916666666666667,29.0,11.0,27.0,12.0
La Liga,2024-2025,SP1,2025-05-04,13:00,Real Madrid,Celta,3,2,H,2.0,0.0,H,Unknown,17.0,14.0,6.0,7.0,5.0,11.0,4.0,6.0,2.0,1.0,0.0,0.0,13,Early Kickoff,5,1,3.0,0.35294117647058826,0.5,31.0,13.0,16.0,10.0
La Liga,2024-2025,SP1,2025-05-04,15:15,Sevilla,Leganes,2,2,D,1.0,1.0,D,Unknown,25.0,9.0,7.0,3.0,17.0,12.0,8.0,2.0,4.0,5.0,0.0,0.0,15,Afternoon,4,0,9.0,0.28,0.3333333333333333,34.0,10.0,29.0,10.0
La Liga,2024-2025,SP1,2025-05-04,17:30,Espanol,Betis,1,2,A,1.0,0.0,H,Unknown,11.0,20.0,5.0,10.0,16.0,10.0,3.0,7.0,2.0,0.0,0.0,0.0,17,Evening / Night,3,1,2.0,0.45454545454545453,0.5,31.0,15.0,26.0,10.0
La Liga,2024-2025,SP1,2025-05-04,20:00,Sociedad,Ath Bilbao,0,0,D,0.0,0.0,D,Unknown,12.0,3.0,3.0,1.0,18.0,13.0,7.0,3.0,1.0,2.0,0.0,0.0,20,Evening / Night,0,0,3.0,0.25,0.3333333333333333,15.0,4.0,31.0,10.0
La Liga,2024-2025,SP1,2025-05-05,20:00,Girona,Mallorca,1,0,H,1.0,0.0,H,Unknown,13.0,9.0,6.0,1.0,11.0,14.0,5.0,2.0,0.0,2.0,0.0,0.0,20,Evening / Night,1,1,2.0,0.46153846153846156,0.1111111111111111,22.0,7.0,25.0,7.0
La Liga,2024-2025,SP1,2025-05-09,20:00,Las Palmas,Vallecano,0,1,A,0.0,0.0,D,Unknown,11.0,16.0,2.0,5.0,8.0,9.0,8.0,8.0,2.0,3.0,0.0,0.0,20,Evening / Night,1,1,5.0,0.18181818181818182,0.3125,27.0,7.0,17.0,16.0
La Liga,2024-2025,SP1,2025-05-10,13:00,Valencia,Getafe,3,0,H,3.0,0.0,H,Unknown,10.0,10.0,6.0,3.0,17.0,20.0,2.0,6.0,3.0,5.0,0.0,0.0,13,Early Kickoff,3,3,8.0,0.6,0.3,20.0,9.0,37.0,8.0
La Liga,2024-2025,SP1,2025-05-10,15:15,Celta,Sevilla,3,2,H,1.0,1.0,D,Unknown,8.0,19.0,4.0,10.0,11.0,16.0,3.0,6.0,0.0,2.0,1.0,0.0,15,Afternoon,5,1,3.0,0.5,0.5263157894736842,27.0,14.0,27.0,9.0
