league,season,div,date,time,hometeam,awayteam,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,halftimehalfgoals,halftimehomegoals,halftimeresult,referee,homeshots,awayshots,homeshotontarget,awayshotsontarget,homefouls,awayfouls,homecorners,awaycorners,homeyellowcards,awayyellowcards,homeredcards,awayredcards,kickoff_hour,time_of_day,total_goals,goal_difference,total_cards,shot_accuracy_home,shot_accuracy_away,total_shots,total_shots_on_target,total_fouls,total_corners
Bundesliga,2022-2023,D1,2022-08-19,19:30,M'gladbach,Hertha,1,0,H,1.0,0.0,H,Unknown,11.0,18.0,6.0,5.0,7.0,11.0,5.0,5.0,1.0,2.0,0.0,1.0,19,Evening / Night,1,1,4.0,0.5454545454545454,0.2777777777777778,29.0,11.0,18.0,10.0
Bundesliga,2022-2023,D1,2022-08-20,14:30,Augsburg,Mainz,1,2,A,1.0,1.0,D,Unknown,6.0,14.0,2.0,7.0,13.0,19.0,3.0,3.0,2.0,2.0,0.0,0.0,14,Afternoon,3,1,4.0,0.3333333333333333,0.5,20.0,9.0,32.0,6.0
Bundesliga,2022-2023,D1,2022-08-20,14:30,Dortmund,Werder Bremen,2,3,A,1.0,0.0,H,Unknown,5.0,14.0,3.0,7.0,13.0,9.0,3.0,5.0,4.0,1.0,0.0,0.0,14,Afternoon,5,1,5.0,0.6,0.5,19.0,10.0,22.0,8.0
Bundesliga,2022-2023,D1,2022-08-20,14:30,Leverkusen,Hoffenheim,0,3,A,0.0,2.0,A,Unknown,14.0,10.0,3.0,5.0,15.0,18.0,3.0,1.0,1.0,4.0,0.0,0.0,14,Afternoon,3,3,5.0,0.21428571428571427,0.5,24.0,8.0,33.0,4.0
Bundesliga,2022-2023,D1,2022-08-20,14:30,Stuttgart,Freiburg,0,1,A,0.0,1.0,A,Unknown,18.0,9.0,5.0,3.0,8.0,12.0,3.0,1.0,4.0,2.0,0.0,0.0,14,Afternoon,1,1,6.0,0.2777777777777778,0.3333333333333333,27.0,8.0,20.0,4.0
Bundesliga,2022-2023,D1,2022-08-20,14:30,Wolfsburg,Schalke 04,0,0,D,0.0,0.0,D,Unknown,16.0,9.0,6.0,2.0,13.0,10.0,12.0,4.0,1.0,3.0,0.0,0.0,14,Afternoon,0,0,4.0,0.375,0.2222222222222222,25.0,8.0,23.0,16.0
Bundesliga,2022-2023,D1,2022-08-20,17:30,Union Berlin,RB Leipzig,2,1,H,2.0,0.0,H,Unknown,9.0,16.0,4.0,2.0,14.0,8.0,1.0,13.0,2.0,1.0,0.0,0.0,17,Evening / Night,3,1,3.0,0.4444444444444444,0.125,25.0,6.0,22.0,14.0
Bundesliga,2022-2023,D1,2022-08-21,14:30,Ein Frankfurt,FC Koln,1,1,D,0.0,0.0,D,Unknown,10.0,6.0,3.0,2.0,15.0,11.0,5.0,9.0,0.0,1.0,0.0,0.0,14,Afternoon,2,0,1.0,0.3,0.3333333333333333,16.0,5.0,26.0,14.0
Bundesliga,2022-2023,D1,2022-08-21,16:30,Bochum,Bayern Munich,0,7,A,0.0,4.0,A,Unknown,13.0,22.0,7.0,12.0,10.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,16,Afternoon,7,7,1.0,0.5384615384615384,0.5454545454545454,35.0,19.0,16.0,10.0
Bundesliga,2022-2023,D1,2022-08-26,19:30,Freiburg,Bochum,1,0,H,0.0,0.0,D,Unknown,28.0,15.0,12.0,5.0,15.0,13.0,2.0,5.0,2.0,2.0,0.0,0.0,19,Evening / Night,1,1,4.0,0.42857142857142855,0.3333333333333333,43.0,17.0,28.0,7.0
