--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Paxten Aaronson,us USA,MF,Frankfurt,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4cd41883
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,0.14,0.28,0.42,0.14,0.42,Matches,22919e97
3,Karim Adeyemi,de GER,MFFW,Dortmund,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,0.39,0.32,0.71,0.39,0.71,Matches,501055d8
4,Amine Adli,ma MAR,FWMF,Leverkusen,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,0.31,0.19,0.50,0.31,0.50,Matches,dcfb17f4
5,Felix Agu,ng NGA,DFMF,Werder Bremen,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb6d81b3
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matches,a6c58494
7,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,0.45,0.07,0.52,0.45,0.52,Matches,462475ed
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FW,Frankfurt,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,834d0be5
10,Faride Alidou,de GER,FW,Frankfurt,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches,00f518d8
11,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8ce30c57
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd682b6b
13,Nadiem Amiri,de GER,MFFW,Leverkusen,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,0.37,0.09,0.46,0.28,0.37,Matches,555d5edd
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,Matches,e0b113a7
15,Angeliño,es ESP,MF,Hoffenheim,25,1997,33,30,2617,29.1,0,8,8,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches,30941e96
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,34,2934,32.6,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28,1994,29,22,1981,22.0,3,6,9,3,0,0,2,0,0.14,0.27,0.41,0.14,0.41,Matches,0a3f6cde
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,56413b1f
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,32,2767,30.7,5,3,8,2,3,5,5,0,0.16,0.10,0.26,0.07,0.16,Matches,86e119e0
20,Takuma Asano,jp JPN,MFFW,Bochum,27,1994,25,21,1713,19.0,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches,13ddc856
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35f67a30
22,Mehmet Aydin,de GER,MFDF,Schalke 04,20,2002,16,3,567,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe46e261
23,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce81d82d
