--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Union Berlin,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,0.14,0.14,0.28,0.14,0.28,Matches,5bc43860
2,Paxten Aaronson,us USA,MF,Frankfurt,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.00,0.89,0.89,0.00,0.89,Matches,4cd41883
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82e12fe7
4,Sargis Adamyan,am ARM,FWMF,Köln,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,0.11,0.22,0.34,0.11,0.34,Matches,22919e97
5,Karim Adeyemi,de GER,FWMF,Dortmund,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,0.30,0.10,0.39,0.30,0.39,Matches,501055d8
6,Amine Adli,ma MAR,MFFW,Leverkusen,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,0.40,0.60,1.00,0.40,1.00,Matches,dcfb17f4
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cb6d81b3
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,26,15,1360,15.1,2,0,2,2,0,2,4,0,0.13,0.00,0.13,0.13,0.13,Matches,462475ed
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,6ec6fde0
10,Faride Alidou,de GER,MFFW,Köln,22,2001,26,14,1282,14.2,4,0,4,4,0,0,4,0,0.28,0.00,0.28,0.28,0.28,Matches,00f518d8
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.73,0.00,0.73,0.73,0.73,Matches,add37c13
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,15,15,1315,14.6,1,4,5,1,0,1,5,0,0.07,0.27,0.34,0.07,0.34,Matches,555d5edd
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,555d5edd
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8e17ca3
15,Robert Andrich,de GER,MFDF,Leverkusen,28,1994,28,18,1690,18.8,4,2,6,4,0,0,4,0,0.21,0.11,0.32,0.21,0.32,Matches,e0b113a7
16,Waldemar Anton,de GER,DF,Stuttgart,27,1996,33,32,2886,32.1,0,3,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29,1994,25,11,1216,13.5,2,2,4,2,0,0,5,0,0.15,0.15,0.30,0.15,0.30,Matches,0a3f6cde
18,Asaf Arania,il ISR,FW,Darmstadt 98,17,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d61c07fd
19,Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,30,27,2506,27.8,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11,Matches,86e119e0
20,Arthur,br BRA,MF,Leverkusen,20,2003,4,2,184,2.0,0,2,2,0,0,0,0,0,0.00,0.98,0.98,0.00,0.98,Matches,8a958856
21,Takuma Asano,jp JPN,FWMF,Bochum,28,1994,29,26,1986,22.1,6,1,7,6,0,0,2,0,0.27,0.05,0.32,0.27,0.32,Matches,13ddc856
22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25355bd8
23,Noah Atubolu,de GER,GK,Freiburg,21,2002,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dbd1b101
24,Matthias Bader,de GER,MFDF,Darmstadt 98,26,1997,24,21,1802,20.0,1,2,3,1,0,0,1,0,0.05,0.10,0.15,0.05,0.15,Matches,3489184e
25,Ridle Baku,de GER,MFDF,Wolfsburg,25,1998,33,22,2013,22.4,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,442b56fa
26,Samuel Bamba,de GER,FW,Dortmund,19,2004,2,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,489d4867
27,Aymen Barkok,ma MAR,MF,Mainz 05,25,1998,13,1,321,3.6,1,0,1,1,0,1,2,0,0.28,0.00,0.28,0.28,0.28,Matches,a2a85828
28,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23,2000,31,29,2606,29.0,4,1,5,4,0,0,8,0,0.14,0.03,0.17,0.14,0.17,Matches,00242b75
29,Daniel Batz,de GER,GK,Mainz 05,32,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec759ba1
30,Maximilian Bauer,de GER,DF,Augsburg,23,2000,14,9,810,9.0,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,44a20f0c
31,Elias Baum,de GER,DF,Frankfurt,17,2005,4,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54d2b378
32,Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34,34,3060,34.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,47064058
33,Christoph Baumgartner,at AUT,MFFW,RB Leipzig,23,1999,32,11,1158,12.9,5,1,6,5,0,0,3,0,0.39,0.08,0.47,0.39,0.47,Matches,437f2b00
34,Ihlas Bebou,tg TOG,FWMF,Hoffenheim,29,1994,32,16,1636,18.2,7,5,12,7,0,0,3,0,0.39,0.28,0.66,0.39,0.66,Matches,a53b661f
35,Adrian Beck,de GER,MF,Heidenheim,26,1997,23,11,974,10.8,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,616c09f5
36,Sheraldo Becker,sr SUR,FWMF,Union Berlin,28,1995,11,7,645,7.2,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,8eb55dbb
37,Chris Bedia,ci CIV,FW,Union Berlin,27,1996,7,0,145,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,ec11ecf8
38,Donny van de Beek,nl NED,MFFW,Frankfurt,26,1997,8,4,357,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,50dc94ce
39,Kevin Behrens,de GER,FW,Wolfsburg,32,1991,13,7,616,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,30ae134d
