--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
483,Lucas Vázquez,es ESP,MF,Leverkusen,34,1991,12,6,481,5.3,1,2,3,1,0,0,2,0,0.19,0.37,0.56,0.19,0.56,Matches,fd51b456
484,Nikolas Veratschnig,at AUT,MFDF,Mainz 05,22,2003,21,6,660,7.3,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,13496b77
485,Fabio Vieira,pt POR,MFFW,Hamburger SV,25,2000,29,25,2206,24.5,7,5,12,6,1,1,4,2,0.29,0.20,0.49,0.24,0.45,Matches,6412cc03
486,Luka Vušković,hr CRO,DF,Hamburger SV,18,2007,28,27,2442,27.1,6,0,6,5,1,1,6,0,0.22,0.00,0.22,0.18,0.18,Matches,fd6bdbce
487,Yannik Wagner,de GER,FW,Heidenheim,18,2007,4,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4439fe7d
488,Elye Wahi,ci CIV,FW,Frankfurt,22,2003,10,3,324,3.6,0,1,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,0d7b6576
489,Hauke Wahl,de GER,DF,St Pauli,31,1994,30,29,2592,28.8,2,1,3,2,0,0,1,0,0.07,0.03,0.10,0.07,0.10,Matches,f3db5b34
490,Luca Waldschmidt,de GER,FWMF,Köln,29,1996,24,7,677,7.5,5,4,9,3,2,2,1,0,0.66,0.53,1.20,0.40,0.93,Matches,e5a35ae9
491,Tobias Weigel,de GER,FW,Heidenheim,18,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a2be5df4
492,Nelson Weiper,de GER,FW,Mainz 05,20,2005,24,3,558,6.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,231c67ff
493,Timo Werner,de GER,FWMF,RB Leipzig,29,1996,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49fe9070
494,Silvan Widmer,ch SUI,MF,Mainz 05,32,1993,27,22,1810,20.1,2,1,3,2,0,0,5,0,0.10,0.05,0.15,0.10,0.15,Matches,f68b64fc
495,Patrick Wimmer,at AUT,MF,Wolfsburg,24,2001,25,21,1621,18.0,4,3,7,4,0,0,4,0,0.22,0.17,0.39,0.22,0.39,Matches,cb11b429
496,Jonas Wind,dk DEN,FW,Wolfsburg,26,1999,11,5,481,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,2077ae86
497,Maximilian Wöber,at AUT,DF,Werder Bremen,27,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b803b3c
498,Marius Wolf,de GER,MF,Augsburg,30,1995,29,12,1019,11.3,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,fa661778
499,Nick Woltemade,de GER,MF,Stuttgart,23,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7ca196eb
500,Jeong Woo-yeong,kr KOR,MFFW,Union Berlin,25,1999,28,13,1197,13.3,4,1,5,4,0,0,0,0,0.30,0.08,0.38,0.30,0.38,Matches,6190474d
501,Dan-Axel Zagadou,fr FRA,DF,Stuttgart,26,1999,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4effc55
502,Aaron Zehnter,de GER,DFMF,Wolfsburg,20,2004,20,17,1456,16.2,2,0,2,2,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,65bf7e2b
503,Robin Zentner,de GER,GK,Mainz 05,30,1994,10,10,876,9.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,5c4bf6ba
504,Cedric Zesiger,ch SUI,DF,Augsburg,27,1998,27,20,1816,20.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2bab583c
505,Michael Zetterer,de GER,GK,Frankfurt,30,1995,22,21,1976,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9b688ae1
506,Budu Zivzivadze,ge GEO,FW,Heidenheim,31,1994,20,14,1142,12.7,6,0,6,6,0,0,2,1,0.47,0.00,0.47,0.47,0.47,Matches,e3a72b89
507,Luka Đurić,rs SRB,MF,Hoffenheim,22,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cfba3330


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/20/stats/Bundesliga-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard">View Original Table</a><br>Generated 7/28/2026.
