--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
379,Eddie Nketiah,eng ENG,MF,Crystal Palace,26,1999,12,2,424,4.7,2,0,2,2,0,0,2,0,0.42,0.00,0.42,0.42,0.42,Matches,a53649b7
380,Lukas Nmecha,de GER,FW,Leeds United,26,1998,31,10,1083,12.0,6,1,7,4,2,3,0,0,0.50,0.08,0.58,0.33,0.42,Matches,0cc5f4a5
381,Matheus Nunes,pt POR,DF,Manchester City,26,1998,34,32,2862,31.8,1,5,6,1,0,0,5,0,0.03,0.16,0.19,0.03,0.19,Matches,e6af02e0
382,Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f94982c
383,Trey Nyoni,eng ENG,MF,Liverpool,18,2007,6,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1d3b3d77
384,Christian Nørgaard,dk DEN,MF,Arsenal,31,1994,7,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df0a4c90
385,Jake O'Brien,ie IRL,DF,Everton,24,2001,37,35,3120,34.7,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches,25f2ef01
386,Luke O'Nien,eng ENG,DF,Sunderland,30,1994,12,5,569,6.3,0,1,1,0,0,0,1,1,0.00,0.16,0.16,0.00,0.16,Matches,8092d497
387,Nico O'Reilly,eng ENG,DFMF,Manchester City,20,2005,34,29,2646,29.4,5,3,8,5,0,0,5,0,0.17,0.10,0.27,0.17,0.27,Matches,91ca4a16
388,Matt O'Riley,dk DEN,MF,Brighton,24,2000,6,2,204,2.3,1,0,1,0,1,1,0,0,0.44,0.00,0.44,0.00,0.00,Matches,fb495bb8
389,Wilson Odobert,fr FRA,MFFW,Tottenham,20,2004,24,10,985,10.9,0,2,2,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,35516eac
390,Noah Okafor,ch SUI,FWMF,Leeds United,25,2000,28,19,1561,17.3,8,1,9,8,0,0,3,0,0.46,0.06,0.52,0.46,0.52,Matches,ca607d59
391,Callum Olusesi,eng ENG,MF,Tottenham,18,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6455444
392,Amadou Onana,be BEL,MF,Aston Villa,23,2001,25,21,1758,19.5,2,0,2,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,828657ff
393,Frank Onyeka,ng NGA,MF,Brentford,27,1998,6,0,92,1.0,0,1,1,0,0,0,0,0,0.00,0.98,0.98,0.00,0.98,Matches,2944f86f
394,Nehemiah Oriola,eng ENG,MF,Brighton,18,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,febb2831
395,Stefan Ortega,de GER,GK,Nottingham,32,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1242d4e
396,William Osula,dk DEN,FW,Newcastle,21,2003,24,8,819,9.1,7,0,7,7,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches,7b355808
397,Dango Ouattara,bf BFA,MF,Brentford,23,2002,32,25,2276,25.3,7,3,10,7,0,0,5,0,0.28,0.12,0.40,0.28,0.40,Matches,2f9e4435
398,Pablo,br BRA,MFFW,West Ham,21,2004,14,10,823,9.1,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,866ba412
399,João Palhinha,pt POR,MF,Tottenham,30,1995,33,23,2198,24.4,5,2,7,5,0,0,8,0,0.20,0.08,0.29,0.20,0.29,Matches,a78ff07f
400,Cole Palmer,eng ENG,MF,Chelsea,23,2002,26,24,1955,21.7,10,1,11,5,5,6,5,0,0.46,0.05,0.51,0.23,0.28,Matches,dc7f8a28
401,Lucas Paquetá,br BRA,MFFW,West Ham,27,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,0.24,0.06,0.30,0.12,0.18,Matches,9b6f7fd5
402,Nathan Patterson,sct SCO,DF,Everton,23,2001,7,3,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,230f0471
403,Myles Peart-Harris,eng ENG,MF,Brentford,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea1a5662
404,Lucas Perri,br BRA,GK,Leeds United,27,1997,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5dbd461a
405,Đorđe Petrović,rs SRB,GK,Bournemouth,25,1999,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0cf321c8
406,Jordan Pickford,eng ENG,GK,Everton,31,1994,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
407,Ethan Pinnock,jm JAM,DF,Brentford,32,1993,4,4,318,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e541326e
408,Yéremy Pino,es ESP,MFFW,Crystal Palace,22,2002,34,26,2080,23.1,2,2,4,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,Matches,540ec57b
409,Joël Piroe,sr SUR,FW,Leeds United,25,1999,16,2,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f0072a6
410,Nick Pope,eng ENG,GK,Newcastle,33,1992,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4b40d9ca
411,Pedro Porro,es ESP,DF,Tottenham,25,1999,34,32,2796,31.1,1,2,3,1,0,0,10,0,0.03,0.06,0.10,0.03,0.10,Matches,27d0a506
412,Freddie Potts,eng ENG,MF,West Ham,21,2003,22,12,1171,13.0,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,86bf27f0
413,Aaron Ramsdale,eng ENG,GK,Newcastle,27,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5
414,Jacob Ramsey,eng ENG,MF,Newcastle,24,2001,28,15,1450,16.1,2,3,5,2,0,0,5,1,0.12,0.19,0.31,0.12,0.31,Matches,1544f145
415,David Raya,es ESP,GK,Arsenal,29,1995,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,98ea5115
416,Rayan,br BRA,MF,Bournemouth,18,2006,15,13,1111,12.3,5,2,7,5,0,0,1,0,0.41,0.16,0.57,0.41,0.57,Matches,288647fc
