--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15,Matches,5bc43860
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56628958
3,Ché Adams,sct SCO,FW,Southampton,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,0.23,0.14,0.36,0.23,0.36,Matches,f2bf1b0f
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2b09d998
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,c81d773d
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,288e1e13
7,Naouirou Ahamada,fr FRA,MF,Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a6c58494
8,Rayan Aït-Nouri,dz ALG,DFMF,Wolves,21,2001,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,9b398aea
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8c0acb7
10,Manuel Akanji,ch SUI,DFMF,Manchester City,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,89ac64a6
