--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
493,Halid Šabanović,ba BIH,DFMF,Angers,22,1999,15,8,638,7.1,2,0,2,2,0,0,1,1,0.28,0.00,0.28,0.28,0.28,Matches,8299e363
494,Falaye Sacko,ml MLI,DF,Montpellier,27,1995,35,29,2580,28.7,1,3,4,1,0,0,3,0,0.03,0.10,0.14,0.03,0.14,Matches,6388e356
495,Wesley Saïd,fr FRA,FW,Lens,27,1995,21,6,644,7.2,5,0,5,5,0,0,2,0,0.70,0.00,0.70,0.70,0.70,Matches,90fcf472
496,Théo Sainte-Luce,fr FRA,DF,Montpellier,23,1998,9,7,534,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,93c942fb
497,Hamza Sakhi,fr FRA,MF,Auxerre,26,1996,27,18,1658,18.4,1,2,3,1,0,0,1,0,0.05,0.11,0.16,0.05,0.16,Matches,c9151d66
498,Mamadou Sakho,fr FRA,DF,Montpellier,32,1990,15,7,763,8.5,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,87935cf3
499,Ibrahim Salah,ma MAR,FW,Rennes,20,2001,13,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cad3fd4d
500,Amine Salama,fr FRA,FWMF,Angers,22,2000,25,12,1249,13.9,3,1,4,3,0,0,1,0,0.22,0.07,0.29,0.22,0.29,Matches,bc7cc472
501,Yoann Salmier,gf GUF,DF,Troyes,29,1992,32,31,2646,29.4,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,Matches,c3725db2
502,Mama Samba Baldé,gw GNB,FWMF,Troyes,26,1995,34,30,2665,29.6,12,3,15,10,2,2,6,2,0.41,0.10,0.51,0.34,0.44,Matches,fb14aa28
503,Brice Samba,fr FRA,GK,Lens,28,1994,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,60d90c55
504,Renato Sanches,pt POR,MF,PSG,24,1997,23,6,717,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,032f894e
505,Alexis Sánchez,cl CHI,FWMF,Marseille,33,1988,35,32,2679,29.8,14,3,17,12,2,3,3,0,0.47,0.10,0.57,0.40,0.50,Matches,2c0f8e9e
506,Morgan Sanson,fr FRA,MF,Strasbourg,27,1994,18,18,1419,15.8,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches,6e7f1353
507,Baptiste Santamaria,fr FRA,MF,Rennes,27,1995,25,20,1813,20.1,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,5e22e2a4
508,Pablo Sarabia,es ESP,FWMF,PSG,30,1992,14,3,370,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9744ff80
509,Amin Sarr,se SWE,FW,Lyon,21,2001,13,6,537,6.0,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,d5326924
510,Malang Sarr,fr FRA,DF,Monaco,23,1999,13,8,716,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,4315f30d
511,Mamadou Sarr,sn SEN,DF,Lyon,16,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61f80c89
512,Téji Savanier,fr FRA,MF,Montpellier,30,1991,30,30,2546,28.3,12,4,16,6,6,6,4,3,0.42,0.14,0.57,0.21,0.35,Matches,6bde367b
513,Kasper Schmeichel,dk DEN,GK,Nice,35,1986,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53af52f3
514,Alidu Seidu,gh GHA,DF,Clermont Foot,22,2000,28,28,2458,27.3,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches,cea59f02
515,Matz Sels,be BEL,GK,Strasbourg,30,1992,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,834b5c4c
516,Marvin Senaya,gh GHA,DFMF,Strasbourg,21,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1d383c10
517,Kaj Sierhuis,nl NED,FW,Reims,24,1998,14,1,218,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c2b1f11
518,Vincent Sierro,ch SUI,MF,Toulouse,26,1995,15,7,665,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,92ffb8f9
519,Abdallah Sima,sn SEN,FW,Angers,21,2001,34,19,1836,20.4,5,1,6,5,0,0,0,0,0.25,0.05,0.29,0.25,0.29,Matches,fdbde523
520,Moses Simon,ng NGA,MFFW,Nantes,27,1995,34,28,2346,26.1,5,4,9,4,1,1,3,0,0.19,0.15,0.35,0.15,0.31,Matches,5f3eaaf5
521,Lassine Sinayoko,ml MLI,MFFW,Auxerre,22,1999,33,16,1570,17.4,1,2,3,1,0,0,2,1,0.06,0.11,0.17,0.06,0.17,Matches,5e5249c8
522,Ibrahima Sissoko,ml MLI,MF,Strasbourg,24,1997,26,13,1310,14.6,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,0f8418aa
523,Moussa Sissoko,fr FRA,MF,Nantes,32,1989,30,22,1918,21.3,2,0,2,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,2acd49b9
524,Naatan Skyttä,fi FIN,MF,Toulouse,20,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7547531
525,Islam Slimani,dz ALG,FW,Brest,34,1988,16,11,986,11.0,1,1,2,1,0,1,5,0,0.09,0.09,0.18,0.09,0.18,Matches,ffec9769
526,Eduard Sobol,ua UKR,MFDF,Strasbourg,27,1995,15,9,870,9.7,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,2ccd89a3
527,Carlos Soler,es ESP,MF,PSG,25,1997,26,14,1187,13.2,3,2,5,3,0,0,0,0,0.23,0.15,0.38,0.23,0.38,Matches,fed17f5a
528,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,28,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f19f32b1
529,Florian Sotoca,fr FRA,MFFW,Lens,31,1990,38,34,3054,33.9,7,9,16,6,1,3,4,0,0.21,0.27,0.47,0.18,0.44,Matches,7a42d0df
530,Moussa Soumano,fr FRA,FW,Ajaccio,17,2005,14,5,495,5.5,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,86a49468
531,Arnaud Souquet,fr FRA,DF,Montpellier,30,1992,12,3,361,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4e0afc5d
532,Kevin Spadanuda,ch SUI,MF,Ajaccio,25,1997,22,13,1063,11.8,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,a45a5d95
533,Djed Spence,eng ENG,DF,Rennes,21,2000,8,7,573,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9bc9a519
534,Stijn Spierings,nl NED,MF,Toulouse,26,1996,36,35,3120,34.7,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,a08985b8
535,Calvin Stengs,nl NED,MFFW,Nice,23,1998,4,3,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f7e6783
536,Tony Strata,ro ROU,MF,Ajaccio,17,2004,3,1,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4ca4f263
537,Luis Suárez,co COL,FW,Marseille,24,1997,7,2,293,3.3,3,1,4,3,0,0,1,0,0.92,0.31,1.23,0.92,1.23,Matches,eeba07f8
538,Gabriel Suazo,cl CHI,DF,Toulouse,24,1997,18,14,1259,14.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,39b326ed
