--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Keyliane Abdallah,fr FRA,FW,Marseille,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7310786d
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,32c2d95f
3,Himad Abdelli,dz ALG,MF,Angers,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,0.19,0.03,0.22,0.10,0.13,Matches,7978cbf0
4,Mohamed Abdelmonem,eg EGY,DF,Nice,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bff15d74
5,Ali Abdi,tn TUN,MF,Nice,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,0.32,0.13,0.45,0.32,0.45,Matches,ad7cdb35
6,Matthis Abline,fr FRA,FW,Nantes,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,0.29,0.07,0.36,0.26,0.33,Matches,0e46fa2f
7,Abner,br BRA,DFMF,Lyon,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,7f9c5d2d
8,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,Matches,c2a6033c
9,Akor Adams,ng NGA,FW,Montpellier,24,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,2ccd39ed
10,Martin Adeline,fr FRA,MF,Reims,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7587446d
11,Adryelson,br BRA,DF,Lyon,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e980e78d
12,Emmanuel Agbadou,ci CIV,DF,Reims,27,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,75f1ed80
13,Jeremy Agbonifo,se SWE,FW,Lens,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,3d6aaa54
14,Ruben Aguilar,fr FRA,MFDF,Lens,31,1993,16,13,1124,12.5,1,2,3,1,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches,3dd738a1
15,Naouirou Ahamada,fr FRA,MF,Rennes,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6c58494
16,Jean-Eudes Aholou,ci CIV,MF,Angers,30,1994,26,26,1959,21.8,2,0,2,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,Matches,48b28bfd
17,Ayman Aiki,fr FRA,MF,Saint-Étienne,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8399c416
18,Ludovic Ajorque,fr FRA,FW,Brest,30,1994,31,29,2495,27.7,13,2,15,13,0,1,5,0,0.47,0.07,0.54,0.47,0.54,Matches,462475ed
19,Ümit Akdag,ro ROU,DF,Toulouse,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d746900e
20,Sergio Akieme,es ESP,DF,Reims,26,1997,30,29,2523,28.0,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,Matches,06efa9dc
21,Maghnes Akliouche,fr FRA,MF,Monaco,22,2002,32,27,2406,26.7,5,10,15,4,1,1,2,0,0.19,0.37,0.56,0.15,0.52,Matches,b625b241
22,Paul Akouokou,ci CIV,MF,Lyon,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31f5b89b
23,Clément Akpa,ci CIV,DF,Auxerre,22,2001,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,0abb5072
24,Chuba Akpom,eng ENG,FW,Lille,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,0.42,0.14,0.56,0.28,0.42,Matches,e2b384d2
25,Al-Musrati,ly LBY,MF,Monaco,28,1996,10,3,386,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches,cd6a1a59
26,Mohamed Ali Cho,fr FRA,FWMF,Nice,20,2004,27,21,1621,18.0,3,4,7,3,0,0,2,0,0.17,0.22,0.39,0.17,0.39,Matches,f8405304
27,Jim Allevinah,ga GAB,MF,Angers,29,1995,28,23,1750,19.4,1,3,4,1,0,0,3,0,0.05,0.15,0.21,0.05,0.21,Matches,1956b948
28,Thiago Almada,ar ARG,MF,Lyon,23,2001,16,9,951,10.6,1,4,5,1,0,0,3,0,0.09,0.38,0.47,0.09,0.47,Matches,27f33438
29,Jordan Amavi,fr FRA,DF,Brest,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,22721b88
30,Kelvin Amian,fr FRA,DF,Nantes,26,1998,30,23,2165,24.1,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,bcc81786
31,Michael Amir Murillo,pa PAN,DF,Marseille,28,1996,30,27,2437,27.1,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches,349cae8f
32,Samuel Amo-Ameyaw,eng ENG,MF,Strasbourg,18,2006,9,3,320,3.6,2,0,2,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches,9eedf0e0
33,Mathis Amougou,fr FRA,MF,Saint-Étienne,18,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f93cca97
34,Benjamin André,fr FRA,MF,Lille,33,1990,30,30,2692,29.9,0,3,3,0,0,0,12,0,0.00,0.10,0.10,0.00,0.10,Matches,ef9c1c95
35,Kyllian Antonio,fr FRA,MFDF,Lens,16,2008,3,2,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea36375c
36,Dennis Appiah,fr FRA,DF,Saint-Étienne,32,1992,29,22,2128,23.6,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,feb5d3ab
37,Carlens Arcus,ht HAI,DF,Angers,28,1996,28,25,2047,22.7,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,5e837126
38,Marco Asensio,es ESP,FWMF,PSG,28,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,0.29,0.58,0.87,0.29,0.87,Matches,45af8a54
39,Lorenz Assignon,tg TOG,MFDF,Rennes,24,2000,32,27,2357,26.2,3,4,7,3,0,0,9,0,0.11,0.15,0.27,0.11,0.27,Matches,b026bbf6
40,Dehmaine Assoumani,fr FRA,FW,Nantes,19,2005,12,0,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb32896c
41,Valentin Atangana Edoa,fr FRA,MF,Reims,18,2005,34,33,2854,31.7,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches,6b5edd5d
42,Florian Ayé,fr FRA,FW,Auxerre,27,1997,26,4,575,6.4,2,0,2,2,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,718b8afd
43,André Ayew,gh GHA,FW,Le Havre,34,1989,27,15,1453,16.1,4,1,5,4,0,0,2,0,0.25,0.06,0.31,0.25,0.31,Matches,5dbefa9d
44,Neil El Aynaoui,ma MAR,MF,Lens,23,2001,24,17,1588,17.6,8,1,9,5,3,3,4,0,0.45,0.06,0.51,0.28,0.34,Matches,17e1261b
45,Shavy Babicka,ga GAB,MF,Toulouse,24,2000,30,11,1186,13.2,4,2,6,4,0,0,2,0,0.30,0.15,0.46,0.30,0.46,Matches,c6f0d5d4
46,Theo Bair,ca CAN,FW,Auxerre,24,1999,29,11,939,10.4,2,1,3,2,0,0,1,0,0.19,0.10,0.29,0.19,0.29,Matches,c724745e
47,Mitchel Bakker,nl NED,MFDF,Lille,24,2000,24,14,1139,12.7,3,2,5,3,0,0,3,1,0.24,0.16,0.40,0.24,0.40,Matches,a8567629
48,Darryl Bakola,fr FRA,MF,Marseille,16,2007,2,0,14,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,57de24a3
49,Dilane Bakwa,fr FRA,MF,Strasbourg,21,2002,30,29,2497,27.7,6,8,14,6,0,0,4,0,0.22,0.29,0.50,0.22,0.50,Matches,2b5a35e5
50,Leonardo Balerdi,ar ARG,DF,Marseille,25,1999,27,27,2273,25.3,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,7c3ed041
51,Fodé Ballo-Touré,sn SEN,DFMF,Le Havre,27,1997,10,9,589,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f449640d
52,Folarin Balogun,us USA,FW,Monaco,23,2001,13,7,615,6.8,4,0,4,4,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,31822f8c
53,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7fecbcdb
54,Mohamed Bamba,ci CIV,MF,Reims,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,562bf675
55,Valentín Barco,ar ARG,MF,Strasbourg,20,2004,14,14,1157,12.9,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,b9f282ec
