--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Himad Abdelli,dz ALG,MF,Marseille,25,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7978cbf0
2,Himad Abdelli,dz ALG,MF,Angers,25,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0.00,0.19,0.00,0.00,Matches,7978cbf0
3,Ali Abdi,tn TUN,MFDF,Nice,31,1993,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,0.00,0.23,0.23,0.23,Matches,ad7cdb35
4,Salis Abdul Samed,gh GHA,MF,Nice,25,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,82464ce3
5,Saud Abdulhamid,sa KSA,MF,Lens,26,1999,25,14,1352,15.0,2,4,6,2,0,0,4,1,0.13,0.27,0.40,0.13,0.40,Matches,caa254e4
6,Laurent Abergel,fr FRA,MF,Lorient,32,1993,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,31626657
7,Matthis Abline,fr FRA,FWMF,Nantes,22,2003,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.22,0.14,0.36,0.22,0.36,Matches,0e46fa2f
8,Abner,br BRA,DFMF,Lyon,25,2000,26,25,2150,23.9,3,2,5,3,0,0,4,1,0.13,0.08,0.21,0.13,0.21,Matches,7f9c5d2d
9,Francis Abu,gh GHA,MF,Toulouse,24,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,66fb354d
10,Giorgi Abuashvili,ge GEO,MFFW,Metz,22,2003,23,6,698,7.8,2,0,2,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,12c3fbb1
11,Mathieu Acapandié,mg MAD,DFMF,Nantes,20,2004,6,2,261,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9f236d0
12,Simon Adingra,ci CIV,MFFW,Monaco,23,2002,14,10,855,9.5,3,2,5,3,0,0,0,0,0.32,0.21,0.53,0.32,0.53,Matches,4dcec659
13,Nathaniel Adjei,gh GHA,DF,Lorient,22,2002,15,9,835,9.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c55de1f5
14,Nayef Aguerd,ma MAR,DF,Marseille,29,1996,16,16,1396,15.5,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,288e1e13
15,Ruben Aguilar,fr FRA,MF,Lens,32,1993,26,20,1720,19.1,2,2,4,2,0,0,6,1,0.10,0.10,0.21,0.10,0.21,Matches,3dd738a1
16,Naouirou Ahamada,fr FRA,MF,Auxerre,23,2002,15,8,682,7.6,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,a6c58494
17,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,19,2006,20,17,1403,15.6,2,1,3,2,0,0,3,1,0.13,0.06,0.19,0.13,0.19,Matches,6cd15657
18,Tosin Aiyegun,bj BEN,FWMF,Lorient,27,1998,27,11,1073,11.9,5,0,5,5,0,1,1,0,0.42,0.00,0.42,0.42,0.42,Matches,9c4f39b3
19,Ludovic Ajorque,fr FRA,FW,Brest,31,1994,32,32,2820,31.3,8,9,17,8,0,0,9,1,0.26,0.29,0.54,0.26,0.54,Matches,462475ed
20,Maghnes Akliouche,fr FRA,MFFW,Monaco,23,2002,31,28,2400,26.7,6,6,12,6,0,0,3,0,0.23,0.23,0.45,0.23,0.45,Matches,b625b241
21,Clément Akpa,ci CIV,DF,Auxerre,23,2001,26,21,1944,21.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,0abb5072
22,Mohamed Ali Cho,fr FRA,FWMF,Nice,21,2004,24,20,1667,18.5,4,3,7,4,0,0,1,0,0.22,0.16,0.38,0.22,0.38,Matches,f8405304
23,Jim Allevinah,ga GAB,MF,Angers,30,1995,6,0,133,1.5,1,0,1,1,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches,1956b948
24,Kelvin Amian,fr FRA,DF,Nantes,27,1998,23,22,1961,21.8,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,bcc81786
25,Michael Amir Murillo,pa PAN,DFMF,Marseille,29,1996,16,11,989,11.0,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,Matches,349cae8f
26,Samuel Amo-Ameyaw,eng ENG,MFDF,Strasbourg,19,2006,25,9,1047,11.6,2,2,4,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches,9eedf0e0
27,Mathis Amougou,fr FRA,MF,Strasbourg,19,2006,12,4,409,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f93cca97
28,Benjamin André,fr FRA,MF,Lille,34,1990,27,26,2332,25.9,2,2,4,2,0,0,9,0,0.08,0.08,0.15,0.08,0.15,Matches,ef9c1c95
29,Aaron Anselmino,ar ARG,DF,Strasbourg,20,2005,3,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1d87670e
30,Kyllian Antonio,fr FRA,DF,Lens,17,2008,4,2,190,2.1,0,1,1,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches,ea36375c
31,Youssef El-Arabi,ma MAR,FW,Nantes,38,1987,25,11,941,10.5,3,0,3,3,0,1,0,0,0.29,0.00,0.29,0.29,0.29,Matches,c63f6e46
32,Carlens Arcus,ht HAI,DF,Angers,29,1996,26,24,2040,22.7,0,3,3,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,Matches,5e837126
33,Paul Argney,fr FRA,GK,Le Havre,19,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cad4009e
34,Joel Asoro,se SWE,FW,Metz,26,1999,8,2,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13e827f8
35,Dehmaine Assoumani,fr FRA,MF,Nantes,20,2005,27,14,1276,14.2,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,fb32896c
36,Otavio Ataide,br BRA,DF,Paris FC,23,2002,23,21,1901,21.1,1,0,1,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05,Matches,6f22e535
37,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,36,1989,30,23,2039,22.7,10,5,15,10,0,0,1,0,0.44,0.22,0.66,0.44,0.66,Matches,d5dd5f1f
38,Arthur Avom,cm CMR,MF,Lorient,20,2004,31,22,2119,23.5,2,1,3,2,0,0,3,0,0.08,0.04,0.13,0.08,0.13,Matches,b2b53f1f
39,Chidozie Awaziem,ng NGA,DF,Nantes,28,1997,26,25,2231,24.8,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12,Matches,70d8e84c
40,Ilyas Azizi,fr FRA,FW,Toulouse,17,2008,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fa9a2011
41,Oussama El Azzouzi,ma MAR,MFDF,Auxerre,24,2001,11,10,807,9.0,1,0,1,1,0,0,1,1,0.11,0.00,0.11,0.11,0.11,Matches,85f476cc
42,Samson Baidoo,at AUT,DF,Lens,21,2004,23,20,1827,20.3,2,1,3,2,0,0,2,0,0.10,0.05,0.15,0.10,0.15,Matches,9440e587
43,Theo Bair,ca CAN,FW,Auxerre,25,1999,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c724745e
44,Darryl Bakola,fr FRA,MF,Marseille,17,2007,8,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57de24a3
45,Dilane Bakwa,fr FRA,FWMF,Strasbourg,22,2002,3,0,107,1.2,1,2,3,1,0,0,0,0,0.84,1.68,2.52,0.84,2.52,Matches,2b5a35e5
46,Leonardo Balerdi,ar ARG,DF,Marseille,26,1999,26,21,2001,22.2,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,7c3ed041
47,Fodé Ballo-Touré,sn SEN,DFMF,Metz,28,1997,13,11,836,9.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f449640d
48,Folarin Balogun,us USA,FW,Monaco,24,2001,30,26,2230,24.8,13,4,17,10,3,3,4,1,0.52,0.16,0.69,0.40,0.57,Matches,31822f8c
49,Abdoulaye Bamba,ci CIV,DF,Angers,35,1990,6,3,255,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7fecbcdb
50,Aladji Bamba,fr FRA,MF,Monaco,19,2006,18,10,816,9.1,0,2,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,6906ecb2
51,Mohamed Bamba,ci CIV,FW,Lorient,23,2001,18,7,682,7.6,1,2,3,1,0,1,3,0,0.13,0.26,0.40,0.13,0.40,Matches,d469252b
52,Valentín Barco,ar ARG,MF,Strasbourg,21,2004,27,24,2168,24.1,2,4,6,2,0,0,5,1,0.08,0.17,0.25,0.08,0.25,Matches,b9f282ec
53,Bradley Barcola,fr FRA,FW,PSG,22,2002,29,21,1743,19.4,11,1,12,11,0,0,2,0,0.57,0.05,0.62,0.57,0.62,Matches,a0d55a09
54,Melvin Bard,fr FRA,DFMF,Nice,24,2000,29,26,2394,26.6,2,1,3,2,0,0,4,0,0.08,0.04,0.11,0.08,0.11,Matches,1ddbc7ca
55,Haris Belkebla,dz ALG,MF,Angers,31,1994,33,33,2875,31.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2b1bed19
56,Yassin Belkhdim,fr FRA,MF,Angers,23,2002,27,26,2135,23.7,2,2,4,2,0,0,5,0,0.08,0.08,0.17,0.08,0.17,Matches,e21d1928
57,Eliesse Ben Seghir,ma MAR,MF,Monaco,20,2005,2,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bd65247
58,Yassine Benhattab,fr FRA,MFFW,Nantes,22,2002,10,5,477,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7da8740d
59,Mohamed Benoit Dao,fr FRA,FW,Paris FC,18,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6765681
60,Nabil Bentaleb,dz ALG,MF,Lille,30,1994,26,13,1287,14.3,2,2,4,1,1,1,3,0,0.14,0.14,0.28,0.07,0.21,Matches,3189f61a
61,Lucas Beraldo,br BRA,DFMF,PSG,21,2003,20,18,1567,17.4,2,1,3,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,Matches,b8aedf06
62,Anthony Bermont,fr FRA,FW,Lens,20,2005,10,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b5f1a2a
63,Gabin Bernardeau,fr FRA,MF,Nice,19,2006,4,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6b7e187
64,Mika Biereth,dk DEN,FW,Monaco,22,2003,32,12,1074,11.9,2,2,4,2,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,a1d95db3
65,Emmanuel Biumla,fr FRA,DF,Angers,20,2005,9,3,387,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5a94f46
66,Ludovic Blas,fr FRA,MFFW,Rennes,27,1997,32,15,1546,17.2,5,4,9,3,2,2,1,0,0.29,0.23,0.52,0.17,0.41,Matches,6191093d
67,Arnaud Bodart,be BEL,GK,Lille,27,1998,3,2,226,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,79c536d7
68,Jeremie Boga,ci CIV,MFFW,Nice,28,1997,14,7,646,7.2,2,2,4,2,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches,fe012aca
69,Morgan Bokelé Mputu,cm CMR,MF,Metz,21,2004,10,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,026fea1e
70,Moïse Bombito,ca CAN,DF,Nice,25,2000,2,2,145,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c2f23fc8
71,Jean-Baptiste Bosey,fr FRA,FW,Strasbourg,17,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95b131e8
72,Ayyoub Bouaddi,ma MAR,MF,Lille,17,2007,30,28,2321,25.8,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches,8006228f
73,Badredine Bouanani,dz ALG,MF,Nice,20,2004,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0400dd2f
74,Kaïl Boudache,fr FRA,MFFW,Nice,19,2006,13,3,531,5.9,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,ed26a44f
75,Hicham Boudaoui,dz ALG,MF,Nice,25,1999,25,18,1694,18.8,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches,f9d5908e
76,Sofiane Boufal,ma MAR,MFFW,Le Havre,31,1993,17,13,1019,11.3,1,4,5,1,0,1,2,0,0.09,0.35,0.44,0.09,0.44,Matches,b0c71810
77,Justin Bourgault,fr FRA,FW,Brest,19,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2db7975a
78,Bilal Brahimi,dz ALG,FWMF,Nice,25,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02bcaf8e
79,Lilian Brassier,fr FRA,DF,Rennes,25,1999,27,25,2250,25.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,5b146df3
80,Marius Broholm,no NOR,MF,Lille,20,2004,11,3,279,3.1,1,1,2,0,1,1,0,0,0.32,0.32,0.65,0.00,0.32,Matches,b5d543e4
81,Paris Brunner,de GER,FW,Monaco,19,2006,7,1,132,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a33ee121
82,Andrija Bulatović,me MNE,MF,Lens,18,2006,19,6,762,8.5,0,4,4,0,0,0,2,0,0.00,0.47,0.47,0.00,0.47,Matches,2c841805
83,Vincent Burlet,be BEL,DF,Lille,19,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af8e48b6
