--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15,Matches,b96b595c
3,Yacine Adli,fr FRA,MF,Milan,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches,26777636
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,Matches,f9c927de
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8bc8829a
6,Marley Aké,fr FRA,FWMF,Udinese,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,414e1f69
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ad34015
8,Jean-Daniel Akpa-Akpro,ci CIV,MFDF,Monza,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf4b948
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c4b95af
10,Luis Alberto,es ESP,MF,Lazio,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,0.19,0.27,0.47,0.19,0.47,Matches,5294a83f
11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches,4abac767
12,Pontus Almqvist,se SWE,FWMF,Lecce,24,1999,30,25,2107,23.4,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,Matches,0917188a
13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13b9e2fb
14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2df7cc43
