--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8f5cdf66
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,38,24,2189,24.3,8,3,11,8,0,0,2,0,0.33,0.12,0.45,0.33,0.45,Matches,f586779e
4,Christian Acella,it ITA,MF,Cremonese,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,771a2cfe
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,31,25,2425,26.9,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,b96b595c
6,Yacine Adli,fr FRA,MF,Milan,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,26777636
7,Michel Aebischer,ch SUI,MFFW,Bologna,25,1997,32,18,1542,17.1,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,f9c927de
8,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0154d290
9,Kevin Agudelo,co COL,MFFW,Spezia,23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,46fa7204
10,Ola Aina,ng NGA,MF,Torino,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.10,0.10,0.21,0.10,0.21,Matches,246d153b
11,Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,23,17,1653,18.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d810c13b
12,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,0.07,0.07,0.13,0.07,0.13,Matches,fdf4b948
13,Luis Alberto,es ESP,MF,Lazio,29,1992,35,27,2442,27.1,6,7,13,5,1,2,4,0,0.22,0.26,0.48,0.18,0.44,Matches,5294a83f
14,Agustín Álvarez,uy URU,FW,Sassuolo,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,0.24,0.24,0.49,0.24,0.49,Matches,ab472696
15,Kelvin Amian,fr FRA,DFMF,Spezia,24,1998,30,26,2372,26.4,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches,bcc81786
16,Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2df7cc43
17,Bruno Amione,ar ARG,DF,Sampdoria,20,2002,26,25,2086,23.2,1,1,2,1,0,0,10,1,0.04,0.04,0.09,0.04,0.09,Matches,2df7cc43
18,Ethan Ampadu,wls WAL,DFMF,Spezia,21,2000,31,31,2639,29.3,0,1,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches,10b9fa99
19,Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,29,24,1998,22.2,0,1,1,0,0,0,11,0,0.00,0.05,0.05,0.00,0.05,Matches,5a2cb25d
20,Felipe Anderson,br BRA,FW,Lazio,29,1993,38,35,2958,32.9,9,2,11,9,0,0,3,0,0.27,0.06,0.33,0.27,0.33,Matches,9f1893b9
21,Frank Anguissa,cm CMR,MF,Napoli,26,1995,36,36,3050,33.9,3,5,8,3,0,0,3,0,0.09,0.15,0.24,0.09,0.24,Matches,6bb2c084
22,Janis Antiste,fr FRA,FWMF,Sassuolo,19,2002,2,0,52,0.6,1,0,1,1,0,0,0,0,1.73,0.00,1.73,1.73,1.73,Matches,38d9ce53
