--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
519,Nicola Sansone,it ITA,FWMF,Lecce,32,1991,5,0,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7eb97a8e
520,Amin Sarr,se SWE,FW,Hellas Verona,23,2001,32,25,1907,21.2,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,Matches,d5326924
521,Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,41efbd34
522,Nicolò Savona,it ITA,DF,Juventus,21,2003,28,19,1724,19.2,2,1,3,2,0,0,5,0,0.10,0.05,0.16,0.10,0.16,Matches,e041497d
523,Saba Sazonov,ge GEO,DF,Torino,22,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,645dffbf
524,Giorgio Scalvini,it ITA,DF,Atalanta,20,2003,6,4,272,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1e9aa637
525,Gianluca Scamacca,it ITA,FW,Atalanta,25,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8790f988
526,Joël Schingtienne,be BEL,DF,Venezia,21,2002,16,12,1122,12.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,35a4790e
527,Simone Scuffet,it ITA,GK,Napoli,28,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41bd99ea
528,Simone Scuffet,it ITA,GK,Cagliari,28,1996,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41bd99ea
529,Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70a10677
530,Stefano Sensi,it ITA,MF,Monza,28,1995,12,2,274,3.0,1,0,1,0,1,1,0,0,0.33,0.00,0.33,0.00,0.00,Matches,b70bde8f
531,Suat Serdar,de GER,MF,Hellas Verona,27,1997,22,16,1376,15.3,2,1,3,2,0,0,4,1,0.13,0.07,0.20,0.13,0.20,Matches,b3325a30
532,Stephan El Shaarawy,it ITA,MFFW,Roma,31,1992,31,12,1098,12.2,3,4,7,3,0,0,2,0,0.25,0.33,0.57,0.25,0.57,Matches,d3aaad90
