--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Zakaria Aboukhlal,ma MAR,MF,Torino,25,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c2a6033c
2,Francesco Acerbi,it ITA,DF,Inter,37,1988,18,15,1378,15.3,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,b96b595c
3,Ché Adams,sct SCO,FW,Torino,29,1996,33,19,1893,21.0,6,2,8,6,0,0,0,0,0.29,0.10,0.38,0.29,0.38,Matches,f2bf1b0f
4,Jayden Addai,nl NED,MF,Como,19,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,0.00,0.39,0.39,0.39,Matches,662ffe3d
5,Vasilije Adžić,me MNE,MF,Juventus,19,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,8b0f9fb8
6,Michel Aebischer,ch SUI,MF,Pisa,28,1997,35,33,2892,32.1,1,2,3,1,0,0,8,0,0.03,0.06,0.09,0.03,0.09,Matches,f9c927de
7,Honest Ahanor,it ITA,DF,Atalanta,17,2008,22,15,1377,15.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,42ff58c3
8,Junior Ajayi,ci CIV,FW,Hellas Verona,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cab600a8
9,Manuel Akanji,ch SUI,DF,Inter,30,1995,33,31,2821,31.3,2,0,2,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,89ac64a6
10,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,2004,24,16,1444,16.0,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,3ad34015
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,1992,22,17,1504,16.7,1,0,1,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,Matches,fdf4b948
12,Al-Musrati,ly LBY,MF,Hellas Verona,29,1996,18,8,844,9.4,0,1,1,0,0,0,6,1,0.00,0.11,0.11,0.00,0.11,Matches,cd6a1a59
13,Agustín Albarracín,uy URU,FW,Cagliari,19,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54d8e26a
14,Raúl Albiol,es ESP,DF,Pisa,39,1985,8,5,500,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,4bd414c1
15,Pontus Almqvist,se SWE,MF,Parma,26,1999,13,4,457,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,0917188a
16,Giuseppe Ambrosino,it ITA,FW,Napoli,21,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,282947c7
17,Amorim,br BRA,MF,Genoa,20,2005,11,6,552,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,87c4d798
18,Nícolas Andrade,br BRA,GK,Pisa,37,1988,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,326d09ef
19,Angeliño,es ESP,MF,Roma,28,1997,7,5,416,4.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,30941e96
20,Samuele Angori,it ITA,MF,Pisa,21,2003,35,30,2599,28.9,0,2,2,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,9ee1d39e
21,Frank Anguissa,cm CMR,MF,Napoli,29,1995,18,14,1258,14.0,4,1,5,4,0,0,1,0,0.29,0.07,0.36,0.29,0.36,Matches,6bb2c084
22,Faustino Anjorin,eng ENG,MF,Torino,23,2001,15,1,289,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b105919e
23,Antonio Arena,it ITA,FW,Roma,16,2009,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b4e9e1e3
