--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4290206
21,Adrià Altimira,es ESP,DFMF,Villarreal,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,757a3431
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,94acdd4e
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches,852ddfb8
24,Hugo Álvarez,es ESP,MFFW,Celta Vigo,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches,6f392eb8
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,3ecc11d8
26,Selim Amallah,ma MAR,MFFW,Valencia,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15,Matches,00eba9c9
27,Amath,sn SEN,FWMF,Mallorca,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f3b1d9a2
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,56cafd0a
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,fdd26d71
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,58afe001
31,Jon Aramburu,ve VEN,DFMF,Real Sociedad,21,2002,11,5,543,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,dc7a172e
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,8f4541c2
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,25,21,1997,22.2,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches,2bef2bca
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,12,2,265,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a461f098
35,Jesús Areso,es ESP,DFMF,Osasuna,24,1999,37,29,2660,29.6,1,6,7,1,0,0,3,0,0.03,0.20,0.24,0.03,0.24,Matches,94e01ec6
36,Matias Arezo,uy URU,FW,Granada,20,2002,14,3,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,484ebdb0
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d80d7f17
38,José Arnaiz,es ESP,FWMF,Osasuna,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29,Matches,46e07328
39,Sergio Arribas,es ESP,MFFW,Almería,21,2001,34,22,2047,22.7,9,4,13,9,0,0,1,0,0.40,0.18,0.57,0.40,0.57,Matches,1e465e70
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,14,13,1198,13.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,0.30,0.33,0.63,0.20,0.53,Matches,7dcf86f6
42,Ezequiel Ávila,ar ARG,FWMF,Osasuna,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,0.10,0.31,0.42,0.10,0.42,Matches,253a06b9
43,Ezequiel Ávila,ar ARG,MFFW,Real Betis,29,1994,6,4,298,3.3,1,0,1,1,0,0,4,1,0.30,0.00,0.30,0.30,0.30,Matches,253a06b9
44,César Azpilicueta,es ESP,DFMF,Atlético Madrid,33,1989,25,14,1423,15.8,0,2,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,53cad200
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,25,14,1430,15.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bfd381b3
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,075fe5a3
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,28,27,2277,25.3,0,1,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,Matches,114bbdee
48,Álex Baena,es ESP,MFFW,Villarreal,22,2001,34,33,2579,28.7,2,14,16,2,0,1,11,1,0.07,0.49,0.56,0.07,0.56,Matches,518f2234
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,10,9,839,9.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,4,2,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0af4dcf0
51,Alejandro Balde,es ESP,DFMF,Barcelona,19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,5ccc9672
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,cee88597
53,Jonathan Bamba,ci CIV,MFFW,Celta Vigo,27,1996,27,24,1981,22.0,3,2,5,3,0,0,0,0,0.14,0.09,0.23,0.14,0.23,Matches,b2bd0f6c
54,Léo Baptistão,br BRA,FWMF,Almería,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,0.29,0.00,0.29,0.29,0.29,Matches,35f6db55
55,Kike Barja,es ESP,FWMF,Osasuna,26,1997,16,3,303,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,aad53e64
56,Ander Barrenetxea,es ESP,MFFW,Real Sociedad,21,2001,29,20,1427,15.9,4,1,5,4,0,0,1,0,0.25,0.06,0.32,0.25,0.32,Matches,200e89e1
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,24,17,1555,17.3,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,45736cec
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,3,3,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b742cc0d
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fc627681
60,Bebé,cv CPV,FWMF,Rayo Vallecano,33,1990,19,0,212,2.4,2,0,2,1,1,1,1,0,0.85,0.00,0.85,0.42,0.42,Matches,d8712bf9
61,Sheraldo Becker,sr SUR,FWMF,Real Sociedad,28,1995,15,8,771,8.6,2,2,4,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches,8eb55dbb
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,23,20,1711,19.0,0,1,1,0,0,0,0,1,0.00,0.05,0.05,0.00,0.05,Matches,f874dd44
63,Jude Bellingham,eng ENG,MFFW,Real Madrid,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,0.74,0.23,0.97,0.70,0.93,Matches,57d88cf9
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,33,28,2428,27.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ed5c5fa3
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,Matches,9fb45456
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,27,22,1930,21.4,3,1,4,3,0,0,5,0,0.14,0.05,0.19,0.14,0.19,Matches,b6e50615
67,Álex Berenguer,es ESP,MF,Athletic Club,28,1995,35,15,1592,17.7,7,3,10,6,1,1,4,0,0.40,0.17,0.57,0.34,0.51,Matches,dc1c2fce
68,Antonio Blanco,es ESP,MF,Alavés,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,Matches,506daeac
69,Daley Blind,nl NED,DF,Girona,33,1990,34,33,2972,33.0,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,Matches,691bef82
70,Adri Bosch,es ESP,DF,Granada,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb1e5807
71,Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6798fc3
72,Lucas Boyé,ar ARG,FW,Granada,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,0.21,0.11,0.32,0.21,0.32,Matches,d49f3e6b
73,Darko Brašanac,rs SRB,MF,Osasuna,31,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4accb7e0
74,Brau,es ESP,DF,Granada,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e707ad4
75,Claudio Bravo,cl CHI,GK,Real Betis,40,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10072610
76,Ben Brereton,cl CHI,MFFW,Villarreal,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,57827369
77,Ante Budimir,hr CRO,FW,Osasuna,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,0.63,0.07,0.70,0.52,0.59,Matches,8f3565b3
78,Manu Bueno,es ESP,MF,Sevilla,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c5642098
79,Pablo Busto,es ESP,DF,Real Betis,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da82ccb1
80,José Callejón,es ESP,MFFW,Granada,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,78841da9
81,Eduardo Camavinga,fr FRA,MF,Real Madrid,20,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.00,0.10,0.10,0.00,0.10,Matches,7b9c2d84
82,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001,31,20,1661,18.5,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22,Matches,873619c6
83,José Campaña,es ESP,MF,Las Palmas,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61220da2
84,João Cancelo,pt POR,DF,Barcelona,29,1994,32,29,2503,27.8,2,4,6,2,0,0,7,0,0.07,0.14,0.22,0.07,0.22,Matches,bd6351cd
85,Sergi Canós,es ESP,MF,Valencia,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches,1137759d
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,32,15,1455,16.2,1,1,2,1,0,0,8,0,0.06,0.06,0.12,0.06,0.12,Matches,5acc4a10
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c4b888df
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1846dde
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,26,6,737,8.2,4,1,5,3,1,1,4,0,0.49,0.12,0.61,0.37,0.49,Matches,b92b456a
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,35,30,2814,31.3,1,2,3,1,0,0,11,0,0.03,0.06,0.10,0.03,0.10,Matches,74e90475
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,17,15,1328,14.8,1,2,3,1,0,0,3,0,0.07,0.14,0.20,0.07,0.20,Matches,7426f085
92,Carmona,es ESP,MFDF,Getafe,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches,2dce876a
93,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,29,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches,de39485a
94,Álvaro Carreras,es ESP,MFFW,Granada,20,2003,13,5,475,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,33a68b9b
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,0.17,0.12,0.29,0.17,0.29,Matches,4958bfb2
96,William Carvalho,pt POR,MF,Real Betis,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.13,0.40,0.53,0.13,0.53,Matches,dee86451
97,Marc Casado,es ESP,MF,Barcelona,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ef08833
98,Catena,es ESP,DF,Osasuna,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,0.04,0.11,0.14,0.04,0.14,Matches,274ab13c
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,Matches,c0617e2b
100,Álex Centelles,es ESP,DF,Almería,25,1997,14,11,980,10.9,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,ae852b7d
101,Franco Cervi,ar ARG,MFDF,Celta Vigo,29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,5e1028e5
102,Pep Chavarría,es ESP,DFMF,Rayo Vallecano,25,1998,22,12,1167,13.0,1,1,2,1,0,0,6,1,0.08,0.08,0.15,0.08,0.15,Matches,63c5e56b
103,Andreas Christensen,dk DEN,DFMF,Barcelona,27,1996,30,27,1979,22.0,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,1cb49278
104,Chumi,es ESP,DF,Almería,24,1999,31,26,2434,27.0,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,2475cf9b
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,22,22,1864,20.7,0,1,1,0,0,0,3,2,0.00,0.05,0.05,0.00,0.05,Matches,ec1a731e
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,31,16,1664,18.5,1,0,1,1,0,0,10,0,0.05,0.00,0.05,0.05,0.05,Matches,9a0408b6
107,Silvi Clúa,es ESP,MF,Girona,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b793dea2
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,30,26,2295,25.5,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,d0ee1652
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,27,20,1653,18.4,2,0,2,2,0,0,8,2,0.11,0.00,0.11,0.11,0.11,Matches,5ae499d0
110,Copete,es ESP,DF,Mallorca,23,1999,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches,0f26ffd7
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,17,10,910,10.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,a6951bf8
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,9,2,182,2.0,1,0,1,1,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches,25b82f9a
113,Jesús Corona,mx MEX,DFFW,Sevilla,30,1993,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb938d24
114,Ángel Correa,ar ARG,FWMF,Atlético Madrid,28,1995,32,14,1528,17.0,9,2,11,9,0,0,3,0,0.53,0.12,0.65,0.53,0.65,Matches,01eb744d
115,Thierry Correia,pt POR,DF,Valencia,24,1999,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches,c78b352d
116,Jaume Costa,es ESP,DFMF,Mallorca,35,1988,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,808d48f3
117,Samu Costa,pt POR,MF,Mallorca,22,2000,34,26,2303,25.6,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,76c2a023
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,4,4,332,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
119,Yan Couto,br BRA,MFDF,Girona,21,2002,34,24,2245,24.9,1,8,9,1,0,0,8,0,0.04,0.32,0.36,0.04,0.36,Matches,1944818c
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,15,4,527,5.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,922dfade
121,Cristian,es ESP,GK,Valencia,25,1998,1,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ad74b4d
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,a56da3ba
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,5,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc2dd8a5
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,cc7888f3
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75751c99
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,29,21,1963,21.8,3,1,4,3,0,0,7,0,0.14,0.05,0.18,0.14,0.18,Matches,0abc51f2
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34e39a18
128,Alberto Dadie,es ESP,DF,Real Sociedad,21,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc851506
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,36,21,2157,24.0,2,5,7,2,0,0,4,0,0.08,0.21,0.29,0.08,0.29,Matches,070a3904
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,34,25,2075,23.1,3,5,8,3,0,0,7,0,0.13,0.22,0.35,0.13,0.35,Matches,162efffd
131,Mouctar Diakhaby,gn GUI,DFMF,Valencia,26,1996,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches,d2110326
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d925b04e
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches,8ae7d0ec
134,Brahim Díaz,ma MAR,MFFW,Real Madrid,23,1999,31,18,1545,17.2,8,6,14,8,0,0,0,0,0.47,0.35,0.82,0.47,0.82,Matches,407feb71
135,Víctor Díaz,es ESP,DF,Granada,35,1988,4,2,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3624ce4c
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,8,0,89,1.0,0,1,1,0,0,0,1,0,0.00,1.01,1.01,0.00,1.01,Matches,e447352c
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fc70e345
138,Djené,tg TOG,DFMF,Getafe,31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.00,0.00,0.00,0.00,0.00,Matches,a4971d84
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ac295d9e
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c9cb972b
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3521abfe
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d709cd5c
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,17,7,708,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,daa2eab3
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,0.70,0.10,0.80,0.70,0.80,Matches,853ca71c
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,0.83,0.28,1.11,0.59,0.87,Matches,5b847bb0
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,93090f69
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.10,0.05,0.14,0.10,0.14,Matches,1fe0492d
148,Hugo Duro,es ESP,FW,Valencia,23,1999,37,35,2976,33.1,13,2,15,13,0,0,4,0,0.39,0.06,0.45,0.39,0.45,Matches,37e103f8
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,15,7,812,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,f7dc2ae5
150,Adri Embarba,es ESP,MFFW,Almería,31,1992,36,29,2476,27.5,3,2,5,2,1,1,5,0,0.11,0.07,0.18,0.07,0.15,Matches,db8f0eba
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,0.56,0.07,0.63,0.53,0.60,Matches,04e17fd5
152,Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,0.05,0.11,0.16,0.05,0.16,Matches,3f79a1c8
153,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,1.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,67669ce7
154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31,1992,31,29,2507,27.9,0,1,1,0,0,0,9,0,0.00,0.04,0.04,0.00,0.04,Matches,db001fa9
155,Bernardo Espinosa,co COL,DF,Girona,34,1989,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4242011c
156,Karl Etta Eyong,cm CMR,FW,Cádiz,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0f499ea
