--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Abner,br BRA,DF,Real Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7f9c5d2d
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be6faae0
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,0.14,0.09,0.24,0.14,0.24,Matches,81442ecb
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a2c1a8d3
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,18,1888,21.0,1,2,3,1,0,0,4,0,0.05,0.10,0.14,0.05,0.14,Matches,014aa7bd
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,0.09,0.00,0.09,0.09,0.09,Matches,18abe173
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,06efa9dc
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,733aab44
9,Paul Akouokou,ci CIV,MFDF,Real Betis,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,31f5b89b
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.05,0.15,0.20,0.05,0.20,Matches,05439de2
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,455c26a4
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,99ea2ddd
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.13,0.19,0.32,0.13,0.32,Matches,4601e194
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,4bd414c1
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,0.13,0.00,0.13,0.04,0.04,Matches,036bba5f
16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,Matches,bb08bce9
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,0.00,0.07,0.07,0.00,0.07,Matches,3d7e48ce
18,Carles Aleñá,es ESP,MFFW,Getafe,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,0.08,0.08,0.17,0.08,0.17,Matches,6c811eb7
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b907d169
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,acc1aefa
21,Mohamed Ali Cho,fr FRA,FWMF,Real Sociedad,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46,Matches,f8405304
22,André Almeida,pt POR,MF,Valencia,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches,e6697917
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,f4290206
24,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,56bcaaa0
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.12,0.00,0.12,0.12,0.12,Matches,852ddfb8
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,Matches,3ecc11d8
27,Selim Amallah,ma MAR,MFFW,Valladolid,25,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.67,0.34,1.01,0.67,1.01,Matches,00eba9c9
28,Amath,sn SEN,MFFW,Mallorca,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,0.15,0.00,0.15,0.15,0.15,Matches,f3b1d9a2
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,22721b88
30,Marcos André,br BRA,FW,Valencia,25,1996,17,3,447,5.0,1,0,1,1,0,0,2,1,0.20,0.00,0.20,0.20,0.20,Matches,ae86d473
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,7,585,6.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,fdd26d71
32,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a5f2032
33,José Antonio,es ESP,MF,Cádiz,18,2004,2,0,46,0.5,0,1,1,0,0,0,0,0,0.00,1.96,1.96,0.00,1.96,Matches,62a583ee
34,Anuar,ma MAR,MFFW,Valladolid,27,1995,3,3,210,2.3,1,0,1,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches,c93231dc
35,Mauro Arambarri,uy URU,MF,Getafe,26,1995,13,13,992,11.0,0,1,1,0,0,0,5,1,0.00,0.09,0.09,0.00,0.09,Matches,58afe001
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,21,1800,20.0,0,2,2,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,Matches,2bef2bca
37,Adu Ares,es ESP,MF,Athletic Club,20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a461f098
38,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e465e70
39,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6091cf45
40,Ricard Artero,es ESP,MF,Girona,19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d133e96
41,Santiago Arzamendia,py PAR,DFMF,Cádiz,24,1998,12,5,483,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,759d8dd7
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f0ea33f
43,Marco Asensio,es ESP,FWMF,Real Madrid,26,1996,31,15,1442,16.0,9,6,15,9,0,1,1,0,0.56,0.37,0.94,0.56,0.94,Matches,45af8a54
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,31,2868,31.9,12,3,15,10,2,3,6,0,0.38,0.09,0.47,0.31,0.41,Matches,7dcf86f6
45,Pierre-Emerick Aubameyang,ga GAB,FWMF,Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5dd5f1f
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,4,1,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9fec8860
47,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28,1994,29,23,1709,19.0,8,2,10,6,2,3,7,1,0.42,0.11,0.53,0.32,0.42,Matches,253a06b9
48,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,29,20,1705,18.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bfd381b3
49,Srđan Babić,rs SRB,DF,Almería,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,075fe5a3
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,19,16,1449,16.1,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,114bbdee
51,Édgar Badía,es ESP,GK,Elche,30,1992,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e4346678
52,Álex Baena,es ESP,MFFW,Villarreal,21,2001,35,19,1947,21.6,6,2,8,6,0,0,13,1,0.28,0.09,0.37,0.28,0.37,Matches,518f2234
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,33,30,2471,27.5,1,6,7,1,0,0,4,0,0.04,0.22,0.25,0.04,0.25,Matches,5ccc9672
54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1fe67e86
55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,37,37,3232,35.9,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,cee88597
56,Léo Baptistão,br BRA,FWMF,Almería,29,1992,28,24,1726,19.2,4,1,5,4,0,0,7,0,0.21,0.05,0.26,0.21,0.26,Matches,35f6db55
57,Keidi Bare,al ALB,MF,Espanyol,24,1997,18,4,503,5.6,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,03049c8c
58,Kike Barja,es ESP,FWMF,Osasuna,25,1997,27,15,1312,14.6,1,6,7,1,0,0,1,0,0.07,0.41,0.48,0.07,0.48,Matches,aad53e64
59,Ander Barrenetxea,es ESP,DFMF,Real Sociedad,20,2001,23,9,878,9.8,3,1,4,3,0,0,4,0,0.31,0.10,0.41,0.31,0.41,Matches,200e89e1
60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,21,6,724,8.0,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,45736cec
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,15,8,686,7.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,d637fc22
62,Bebé,cv CPV,FWMF,Rayo Vallecano,32,1990,4,0,60,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d8712bf9
63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f874dd44
64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,36,33,2855,31.7,0,2,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,ed5c5fa3
65,Iker Benito,es ESP,MF,Osasuna,19,2002,4,2,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50cbc806
